## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_F2_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:21:50 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	221	25	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	16	0,137151	0,137151			
All Reads	ALL	11	3	0	0	0	0			
All Reads	ALL	12	18	10	17	0,15239	0,04819			
All Reads	ALL	13	61	33	20	0,148393	0,025832			
All Reads	ALL	14	99	60	23	0,166244	0,021462			
All Reads	ALL	15	232	214	22	0,25302	0,017296			
All Reads	ALL	16	414	340	23	0,225272	0,012217			
All Reads	ALL	17	657	717	23	0,299353	0,01118			
All Reads	ALL	18	1179	1462	23	0,340144	0,008896			
All Reads	ALL	19	1961	2716	23	0,379911	0,00729			
All Reads	ALL	20	2947	3961	23	0,368684	0,005858			
All Reads	ALL	21	4428	5800	24	0,359294	0,004718			
All Reads	ALL	22	6577	8624	24	0,359675	0,003873			
All Reads	ALL	23	10038	13218	24	0,3612	0,003142			
All Reads	ALL	24	13131	17288	24	0,361141	0,002747			
All Reads	ALL	25	16968	22911	24	0,370376	0,002447			
All Reads	ALL	26	22322	30605	24	0,376087	0,00215			
