## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_F2_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/F2_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:16:13 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	83	24	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	16	0,043301	0,043301			
All Reads	ALL	11	3	0	0	0	0			
All Reads	ALL	12	14	8	16	0,049487	0,017496			
All Reads	ALL	13	38	25	20	0,056975	0,011395			
All Reads	ALL	14	69	36	22	0,045184	0,007531			
All Reads	ALL	15	139	120	22	0,074764	0,006825			
All Reads	ALL	16	265	204	23	0,066667	0,004668			
All Reads	ALL	17	415	506	23	0,105592	0,004694			
All Reads	ALL	18	825	1087	23	0,114105	0,003461			
All Reads	ALL	19	1343	1946	23	0,125486	0,002845			
All Reads	ALL	20	2087	2948	23	0,12233	0,002253			
All Reads	ALL	21	3066	4298	23	0,121401	0,001852			
All Reads	ALL	22	4735	6602	23	0,120749	0,001486			
All Reads	ALL	23	7216	10138	24	0,12167	0,001208			
All Reads	ALL	24	9519	13476	24	0,122602	0,001056			
All Reads	ALL	25	12175	17701	24	0,125909	0,000946			
All Reads	ALL	26	16011	23325	24	0,126163	0,000826			
All Reads	ALL	27	20290	29662	24	0,126604	0,000735			
All Reads	ALL	28	26239	41131	24	0,135753	0,000669			
All Reads	ALL	29	34142	54474	24	0,138175	0,000592			
All Reads	ALL	30	42965	71520	25	0,144159	0,000539			
All Reads	ALL	31	52238	113639	25	0,188395	0,000559			
All Reads	ALL	32	63055	177315	25	0,243531	0,000578			
All Reads	ALL	33	77300	1304405	23	1,461374	0,00128			
All Reads	ALL	34	90557	201079	25	0,192297	0,000429			
All Reads	ALL	35	105249	227764	25	0,187411	0,000393			
All Reads	ALL	36	121174	700136	24	0,500382	0,000598			
All Reads	ALL	37	138318	477166	25	0,298758	0,000432			
All Reads	ALL	38	155837	1062886	27	0,590669	0,000573			
All Reads	ALL	39	174604	749680	27	0,371835	0,000429			
All Reads	ALL	40	193878	2436121	28	1,088175	0,000697			
All Reads	ALL	41	209876	2970941	25	1,225913	0,000711			
All Reads	ALL	42	224237	2878684	24	1,111771	0,000655			
All Reads	ALL	43	233118	7094853	20	2,6357	0,00099			
All Reads	ALL	44	238368	4066658	21	1,477468	0,000733			
All Reads	ALL	45	239060	6577169	22	2,382651	0,000929			
All Reads	ALL	46	234505	10246391	20	3,783966	0,001182			
All Reads	ALL	47	225221	1940686	21	0,746234	0,000536			
All Reads	ALL	48	209803	1919553	22	0,79235	0,000572			
All Reads	ALL	49	189718	671662	24	0,306599	0,000374			
All Reads	ALL	50	169001	345644	27	0,17712	0,000301			
All Reads	ALL	51	146983	358421	26	0,211181	0,000353			
All Reads	ALL	52	126311	246300	27	0,16887	0,00034			
All Reads	ALL	53	105383	203623	26	0,167334	0,000371			
All Reads	ALL	54	84250	162638	26	0,167179	0,000415			
All Reads	ALL	55	65472	124256	26	0,164358	0,000466			
All Reads	ALL	56	49080	97093	25	0,171321	0,00055			
All Reads	ALL	57	36190	71990	24	0,172271	0,000642			
All Reads	ALL	58	26321	56274	25	0,185154	0,000781			
All Reads	ALL	59	18173	65467	24	0,311978	0,001219			
All Reads	ALL	60	11966	378550	28	2,739698	0,004453			
All Reads	ALL	61	7628	78669	26	0,893144	0,003184			
All Reads	ALL	62	4915	17628	24	0,310605	0,002339			
