## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N2_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:00:39 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	77	14	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	22	32	1,174932	0,250496			
All Reads	ALL	13	23	93	30	0,863784	0,08957			
All Reads	ALL	14	30	98	28	0,697838	0,070492			
All Reads	ALL	15	93	410	26	0,941783	0,046511			
All Reads	ALL	16	149	576	25	0,825821	0,034409			
All Reads	ALL	17	242	925	28	0,816538	0,026848			
All Reads	ALL	18	354	1554	27	0,937773	0,023789			
All Reads	ALL	19	618	3064	27	1,059132	0,019134			
All Reads	ALL	20	860	3750	27	0,9315	0,015211			
All Reads	ALL	21	1358	5531	27	0,870069	0,011699			
All Reads	ALL	22	1825	7895	27	0,924143	0,010401			
All Reads	ALL	23	2782	11616	27	0,891968	0,008276			
All Reads	ALL	24	3544	14483	27	0,873001	0,007254			
All Reads	ALL	25	4714	18724	27	0,848514	0,006201			
All Reads	ALL	26	6193	24336	27	0,839456	0,005381			
All Reads	ALL	27	7831	30127	27	0,821842	0,004735			
All Reads	ALL	28	10243	39395	27	0,821606	0,004139			
All Reads	ALL	29	12543	48447	27	0,825117	0,003749			
All Reads	ALL	30	14966	57155	27	0,815828	0,003412			
All Reads	ALL	31	17568	68026	27	0,827185	0,003172			
All Reads	ALL	32	20117	77296	27	0,820812	0,002952			
All Reads	ALL	33	23580	90720	27	0,821881	0,002729			
All Reads	ALL	34	27649	107075	27	0,827291	0,002528			
All Reads	ALL	35	31545	125599	27	0,850561	0,0024			
All Reads	ALL	36	35836	144204	27	0,859622	0,002264			
All Reads	ALL	37	39757	162833	27	0,874941	0,002168			
All Reads	ALL	38	45667	190245	28	0,88994	0,00204			
All Reads	ALL	39	53199	224041	28	0,899651	0,001901			
All Reads	ALL	40	62666	266916	28	0,909898	0,001761			
All Reads	ALL	41	72394	310762	28	0,917012	0,001645			
All Reads	ALL	42	85093	368827	28	0,925931	0,001525			
All Reads	ALL	43	99490	437630	28	0,939675	0,00142			
All Reads	ALL	44	116387	514062	28	0,943541	0,001316			
All Reads	ALL	45	136105	609688	28	0,956937	0,001226			
All Reads	ALL	46	157904	712490	28	0,963908	0,001142			
All Reads	ALL	47	181671	827058	28	0,972524	0,001069			
All Reads	ALL	48	208706	959435	28	0,982043	0,001003			
All Reads	ALL	49	234616	1085386	28	0,988272	0,000949			
All Reads	ALL	50	257779	1209050	28	1,001951	0,000911			
All Reads	ALL	51	280055	1328573	28	1,013426	0,000879			
All Reads	ALL	52	292413	1394202	28	1,018542	0,000863			
All Reads	ALL	53	298623	1428596	28	1,021965	0,000855			
All Reads	ALL	54	292850	1414995	28	1,03219	0,000868			
All Reads	ALL	55	275721	1336528	27	1,035519	0,000896			
All Reads	ALL	56	250394	1219286	28	1,040235	0,000942			
All Reads	ALL	57	218855	1069213	28	1,043657	0,001009			
All Reads	ALL	58	186373	914982	28	1,048768	0,001096			
All Reads	ALL	59	152666	758859	28	1,061863	0,001219			
All Reads	ALL	60	120341	601472	28	1,067706	0,001377			
All Reads	ALL	61	91537	461343	28	1,076656	0,001585			
All Reads	ALL	62	66898	336169	27	1,073481	0,001851			
All Reads	ALL	63	47716	243119	28	1,088441	0,002207			
All Reads	ALL	64	32960	168652	28	1,093086	0,002662			
All Reads	ALL	65	22040	111750	28	1,083143	0,00324			
All Reads	ALL	66	14283	72705	28	1,087414	0,004033			
All Reads	ALL	67	8624	43544	27	1,078622	0,005169			
All Reads	ALL	68	5195	26224	28	1,078359	0,006659			
All Reads	ALL	69	3164	15393	27	1,03929	0,008377			
All Reads	ALL	70	1981	9624	28	1,037818	0,010579			
All Reads	ALL	71	1187	5490	28	0,988033	0,013335			
All Reads	ALL	72	707	3225	27	0,974451	0,017159			
All Reads	ALL	73	415	2036	26	1,048044	0,023227			
All Reads	ALL	74	171	741	28	0,925704	0,034007			
All Reads	ALL	75	64	245	30	0,817779	0,052246			
All Reads	ALL	76	44	216	31	1,048699	0,071355			
All Reads	ALL	77	61	291	31	1,019091	0,05974			
All Reads	ALL	78	61	295	27	1,033099	0,060149			
All Reads	ALL	79	42	234	33	1,19019	0,077805			
All Reads	ALL	80	9	51	30	1,210536	0,169509			
All Reads	ALL	81	0	0	0	0	0			
All Reads	ALL	82	0	0	0	0	0			
All Reads	ALL	83	0	0	0	0	0			
All Reads	ALL	84	0	0	0	0	0			
All Reads	ALL	85	0	0	0	0	0			
All Reads	ALL	86	0	0	0	0	0			
All Reads	ALL	87	0	0	0	0	0			
All Reads	ALL	88	0	0	0	0	0			
All Reads	ALL	89	0	0	0	0	0			
All Reads	ALL	90	0	0	0	0	0			
All Reads	ALL	91	0	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


