## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N2_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N2_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:01:08 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	54	13	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	1	0	0,209646	0,209646			
All Reads	ALL	11	3	2	22	0,279528	0,197656			
All Reads	ALL	12	14	20	22	0,598989	0,133938			
All Reads	ALL	13	38	35	25	0,38619	0,065278			
All Reads	ALL	14	69	102	28	0,619823	0,061372			
All Reads	ALL	15	139	206	24	0,621397	0,043295			
All Reads	ALL	16	265	410	25	0,648716	0,032038			
All Reads	ALL	17	415	806	25	0,814336	0,028684			
All Reads	ALL	18	825	1693	26	0,860439	0,020912			
All Reads	ALL	19	1343	2787	26	0,870117	0,016482			
All Reads	ALL	20	2087	4177	26	0,839187	0,012985			
All Reads	ALL	21	3066	5812	26	0,794823	0,010426			
All Reads	ALL	22	4735	8602	26	0,761722	0,008213			
All Reads	ALL	23	7216	13094	26	0,760839	0,006649			
All Reads	ALL	24	9519	17837	26	0,785683	0,005883			
All Reads	ALL	25	12175	22205	27	0,764713	0,005132			
All Reads	ALL	26	16011	28011	27	0,733546	0,004383			
