## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N4_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:05:56 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	6	0	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	2	0	2,375326	1,679609			
All Reads	ALL	27	10	4	0	3,800522	1,900261			
All Reads	ALL	28	18	7	0	3,694952	1,396561			
All Reads	ALL	29	25	15	0	5,700783	1,471936			
All Reads	ALL	30	15	6	0	3,800522	1,551557			
All Reads	ALL	31	12	1	0	0,791775	0,791775			
All Reads	ALL	32	11	3	21	2,591265	1,496068			
All Reads	ALL	33	21	9	0	4,071988	1,357329			
All Reads	ALL	34	27	11	0	3,870902	1,167121			
All Reads	ALL	35	63	15	0	2,262216	0,584102			
All Reads	ALL	36	109	35	31	3,050878	0,515692			
All Reads	ALL	37	168	56	28	3,167102	0,423222			
All Reads	ALL	38	212	49	30	2,196056	0,313722			
All Reads	ALL	39	230	84	35	3,470042	0,378613			
All Reads	ALL	40	256	74	30	2,746471	0,319271			
All Reads	ALL	41	348	84	28	2,293419	0,250232			
All Reads	ALL	42	457	116	27	2,41171	0,223922			
All Reads	ALL	43	530	121	28	2,169166	0,197197			
All Reads	ALL	44	583	156	28	2,542373	0,203553			
All Reads	ALL	45	647	151	29	2,217461	0,180454			
All Reads	ALL	46	790	169	28	2,032558	0,156351			
All Reads	ALL	47	996	1555	13	14,833865	0,376174			
All Reads	ALL	48	1254	5031	12	38,118873	0,537419			
All Reads	ALL	49	1711	3881	14	21,55147	0,345943			
All Reads	ALL	50	2182	4097	12	17,839985	0,278716			
All Reads	ALL	51	2944	5799	12	18,715377	0,245766			
All Reads	ALL	52	3939	8007	11	19,313773	0,21584			
All Reads	ALL	53	4874	9720	12	18,948028	0,19219			
All Reads	ALL	54	5808	15616	11	25,546209	0,204429			
All Reads	ALL	55	7226	14863	12	19,543025	0,160302			
All Reads	ALL	56	9018	16745	12	17,642422	0,136338			
All Reads	ALL	57	11923	19029	11	15,163997	0,109927			
All Reads	ALL	58	15278	24911	13	15,492016	0,098155			
All Reads	ALL	59	18839	21287	14	10,735935	0,073584			
All Reads	ALL	60	23375	10334	13	4,200492	0,041321			
All Reads	ALL	61	30986	8884	15	2,72412	0,028902			
All Reads	ALL	62	41394	8431	15	1,935196	0,021076			
All Reads	ALL	63	53743	6133	16	1,084262	0,013845			
All Reads	ALL	64	69641	8814	14	1,202517	0,012809			
