## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N4_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N4_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:09:14 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	857	33	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	53	33	3,796911	0,521546			
All Reads	ALL	11	3	95	33	4,537189	0,465506			
All Reads	ALL	12	18	361	30	2,873553	0,15124			
All Reads	ALL	13	61	924	30	2,170334	0,071399			
All Reads	ALL	14	99	1788	29	2,587717	0,061197			
All Reads	ALL	15	232	3750	31	2,315943	0,037819			
All Reads	ALL	16	414	7273	31	2,517084	0,029515			
All Reads	ALL	17	657	12801	30	2,791663	0,024674			
All Reads	ALL	18	1179	24666	30	2,997571	0,019086			
All Reads	ALL	19	1961	41115	30	3,00405	0,014815			
All Reads	ALL	20	2947	66504	30	3,233346	0,012538			
All Reads	ALL	21	4428	94825	30	3,068314	0,009964			
All Reads	ALL	22	6577	145737	30	3,174874	0,008317			
All Reads	ALL	23	10038	226787	30	3,237095	0,006797			
All Reads	ALL	24	13131	291643	30	3,182279	0,005893			
All Reads	ALL	25	16968	364380	30	3,076865	0,005097			
All Reads	ALL	26	22322	466352	30	2,993403	0,004383			
