## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_N6_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/N6_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 16:06:26 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	116	15	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	7	0	0,245966	0,092967			
All Reads	ALL	22	17	54	28	0,44646	0,060755			
All Reads	ALL	23	40	106	25	0,372463	0,036177			
All Reads	ALL	24	68	352	29	0,727564	0,038779			
All Reads	ALL	25	79	369	30	0,656503	0,034176			
All Reads	ALL	26	110	694	30	0,886756	0,033661			
All Reads	ALL	27	161	1172	30	1,02315	0,029887			
All Reads	ALL	28	190	1303	30	0,963892	0,026703			
All Reads	ALL	29	291	1577	29	0,761686	0,019181			
All Reads	ALL	30	382	2044	30	0,752064	0,016635			
All Reads	ALL	31	526	2411	29	0,644242	0,01312			
All Reads	ALL	32	666	2692	30	0,568118	0,01095			
All Reads	ALL	33	937	3670	29	0,550508	0,009087			
All Reads	ALL	34	1344	5027	29	0,525711	0,007415			
All Reads	ALL	35	1877	7419	29	0,555544	0,00645			
All Reads	ALL	36	2492	9674	29	0,545627	0,005547			
All Reads	ALL	37	2960	12446	28	0,590984	0,005297			
All Reads	ALL	38	3623	16019	28	0,621448	0,00491			
All Reads	ALL	39	4419	20102	28	0,639371	0,00451			
All Reads	ALL	40	5552	24758	28	0,626763	0,003983			
All Reads	ALL	41	6744	31715	28	0,660974	0,003712			
All Reads	ALL	42	7560	37299	28	0,693446	0,003591			
All Reads	ALL	43	8902	45484	28	0,718139	0,003367			
All Reads	ALL	44	10068	52849	28	0,737787	0,003209			
All Reads	ALL	45	11505	62534	28	0,763954	0,003055			
All Reads	ALL	46	13206	72851	27	0,775357	0,002873			
All Reads	ALL	47	14983	86205	27	0,80867	0,002754			
All Reads	ALL	48	16989	99092	27	0,819801	0,002604			
All Reads	ALL	49	19460	117529	27	0,848867	0,002476			
All Reads	ALL	50	22696	141035	27	0,873404	0,002326			
All Reads	ALL	51	26710	169618	26	0,892556	0,002167			
All Reads	ALL	52	32427	211832	26	0,918168	0,001995			
All Reads	ALL	53	38961	259492	26	0,93612	0,001838			
All Reads	ALL	54	46945	313865	26	0,939704	0,001677			
All Reads	ALL	55	56924	390700	27	0,964685	0,001543			
All Reads	ALL	56	69051	484207	28	0,985595	0,001416			
All Reads	ALL	57	87025	619191	28	1,000042	0,001271			
All Reads	ALL	58	110173	800332	28	1,021016	0,001141			
All Reads	ALL	59	140214	1021279	29	1,023742	0,001013			
All Reads	ALL	60	177619	1295452	29	1,025107	0,000901			
All Reads	ALL	61	220968	1621645	29	1,031487	0,00081			
All Reads	ALL	62	271409	1998092	29	1,034734	0,000732			
All Reads	ALL	63	323825	2387247	29	1,036154	0,000671			
All Reads	ALL	64	371789	2740346	29	1,035968	0,000626			
All Reads	ALL	65	415909	3065894	29	1,036087	0,000592			
All Reads	ALL	66	451287	3307625	29	1,030151	0,000566			
All Reads	ALL	67	473045	3455402	29	1,026676	0,000552			
All Reads	ALL	68	475358	3449433	29	1,019916	0,000549			
All Reads	ALL	69	458482	3308648	29	1,014298	0,000558			
All Reads	ALL	70	428292	3071029	29	1,007816	0,000575			
All Reads	ALL	71	384663	2721898	29	0,994555	0,000603			
All Reads	ALL	72	329437	2300688	29	0,981573	0,000647			
All Reads	ALL	73	272625	1885656	29	0,972152	0,000708			
All Reads	ALL	74	215184	1473067	28	0,962166	0,000793			
All Reads	ALL	75	161122	1081175	28	0,943145	0,000907			
All Reads	ALL	76	114325	758350	28	0,932322	0,001071			
All Reads	ALL	77	76813	500606	28	0,916007	0,001295			
All Reads	ALL	78	48376	308738	27	0,897011	0,001614			
All Reads	ALL	79	29731	187006	27	0,884064	0,002044			
All Reads	ALL	80	17737	110434	26	0,875105	0,002633			
All Reads	ALL	81	9989	60884	26	0,85668	0,003472			
All Reads	ALL	82	5303	31279	25	0,829027	0,004688			
All Reads	ALL	83	2646	15636	25	0,830564	0,006642			
All Reads	ALL	84	1266	7161	24	0,795019	0,009395			
All Reads	ALL	85	629	3520	24	0,786556	0,013257			
All Reads	ALL	86	282	1601	23	0,797957	0,019943			
All Reads	ALL	87	91	583	24	0,90046	0,037293			
All Reads	ALL	88	35	215	24	0,863392	0,058883			
All Reads	ALL	89	18	92	22	0,718378	0,074896			
All Reads	ALL	90	20	85	23	0,597347	0,064791			
All Reads	ALL	91	2	5	18	0,35138	0,157142			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


