## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl2_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:57:01 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	370	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	42	32	1,509126	0,232863			
All Reads	ALL	13	23	273	29	1,705969	0,10325			
All Reads	ALL	14	30	339	32	1,624107	0,088209			
All Reads	ALL	15	93	931	30	1,438809	0,047155			
All Reads	ALL	16	149	1436	31	1,385174	0,036553			
All Reads	ALL	17	242	2361	30	1,402222	0,028858			
All Reads	ALL	18	354	3188	31	1,294349	0,022924			
All Reads	ALL	19	618	5736	30	1,334003	0,017614			
All Reads	ALL	20	860	7994	31	1,335986	0,014942			
All Reads	ALL	21	1358	12519	30	1,32497	0,011842			
All Reads	ALL	22	1825	16642	30	1,310627	0,01016			
All Reads	ALL	23	2782	24964	30	1,289714	0,008163			
All Reads	ALL	24	3544	31633	30	1,282871	0,007213			
All Reads	ALL	25	4714	41074	30	1,252315	0,006179			
All Reads	ALL	26	6193	54316	30	1,260558	0,005409			
All Reads	ALL	27	7831	67730	30	1,243083	0,004776			
All Reads	ALL	28	10243	87297	30	1,224922	0,004146			
All Reads	ALL	29	12543	106352	30	1,218654	0,003737			
All Reads	ALL	30	14966	124451	30	1,195168	0,003388			
All Reads	ALL	31	17568	144547	30	1,18256	0,00311			
All Reads	ALL	32	20117	163958	30	1,171401	0,002893			
All Reads	ALL	33	23580	189616	30	1,15576	0,002654			
All Reads	ALL	34	27649	220194	30	1,144623	0,002439			
All Reads	ALL	35	31545	249078	30	1,134857	0,002274			
All Reads	ALL	36	35836	279097	30	1,119366	0,002119			
All Reads	ALL	37	39757	305700	30	1,105142	0,001999			
All Reads	ALL	38	45667	349836	30	1,101028	0,001862			
All Reads	ALL	39	53199	402128	30	1,086418	0,001713			
All Reads	ALL	40	62666	468961	30	1,075576	0,001571			
All Reads	ALL	41	72394	535531	30	1,063208	0,001453			
All Reads	ALL	42	85093	624978	30	1,055619	0,001335			
All Reads	ALL	43	99490	722213	30	1,043331	0,001228			
All Reads	ALL	44	116387	837228	30	1,033893	0,00113			
All Reads	ALL	45	136105	971663	30	1,026072	0,001041			
All Reads	ALL	46	157904	1117516	29	1,017178	0,000962			
All Reads	ALL	47	181671	1278031	29	1,011095	0,000894			
All Reads	ALL	48	208706	1458284	29	1,004254	0,000832			
All Reads	ALL	49	234616	1633434	29	1,000646	0,000783			
All Reads	ALL	50	257779	1779275	28	0,992046	0,000744			
All Reads	ALL	51	280055	1926091	28	0,988484	0,000712			
All Reads	ALL	52	292413	1996238	28	0,981187	0,000694			
All Reads	ALL	53	298623	2039062	27	0,981394	0,000687			
All Reads	ALL	54	292850	1991836	27	0,977563	0,000693			
All Reads	ALL	55	275721	1868071	27	0,973778	0,000712			
All Reads	ALL	56	250394	1684057	28	0,96665	0,000745			
All Reads	ALL	57	218855	1463703	27	0,961242	0,000795			
All Reads	ALL	58	186373	1240362	28	0,956537	0,000859			
All Reads	ALL	59	152666	1013523	27	0,954174	0,000948			
All Reads	ALL	60	120341	796768	28	0,9516	0,001066			
All Reads	ALL	61	91537	605208	27	0,950264	0,001221			
All Reads	ALL	62	66898	439157	27	0,943502	0,001424			
All Reads	ALL	63	47716	313161	28	0,943279	0,001686			
All Reads	ALL	64	32960	215291	28	0,938804	0,002023			
All Reads	ALL	65	22040	144518	28	0,942425	0,002479			
All Reads	ALL	66	14283	93852	28	0,94441	0,003083			
All Reads	ALL	67	8624	56344	28	0,939021	0,003956			
All Reads	ALL	68	5195	34502	28	0,954542	0,005139			
All Reads	ALL	69	3164	20846	29	0,94694	0,006559			
All Reads	ALL	70	1981	13129	27	0,952541	0,008313			
All Reads	ALL	71	1187	7735	28	0,936582	0,010649			
All Reads	ALL	72	707	4566	28	0,928224	0,013737			
All Reads	ALL	73	415	2624	27	0,908766	0,017741			
All Reads	ALL	74	171	970	27	0,81529	0,026177			
All Reads	ALL	75	64	394	23	0,884815	0,044576			
All Reads	ALL	76	44	310	29	1,012617	0,057513			
All Reads	ALL	77	61	394	31	0,928331	0,046769			
All Reads	ALL	78	61	426	30	1,003728	0,048631			
All Reads	ALL	79	42	279	30	0,954753	0,05716			
All Reads	ALL	80	9	38	32	0,606844	0,098443			
All Reads	ALL	81	0	0	0	0	0			
All Reads	ALL	82	0	0	0	0	0			
All Reads	ALL	83	0	0	0	0	0			
All Reads	ALL	84	0	0	0	0	0			
All Reads	ALL	85	0	0	0	0	0			
All Reads	ALL	86	0	0	0	0	0			
All Reads	ALL	87	0	0	0	0	0			
All Reads	ALL	88	0	0	0	0	0			
All Reads	ALL	89	0	0	0	0	0			
All Reads	ALL	90	0	0	0	0	0			
All Reads	ALL	91	0	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


