## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl2_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:59:54 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	555	31	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	136	30	1,763633	0,15123			
All Reads	ALL	27	10	161	29	1,670264	0,131635			
All Reads	ALL	28	18	227	32	1,308316	0,086836			
All Reads	ALL	29	25	270	32	1,120426	0,068187			
All Reads	ALL	30	15	137	32	0,94752	0,080952			
All Reads	ALL	31	12	161	28	1,391887	0,109696			
All Reads	ALL	32	11	141	29	1,329798	0,111989			
All Reads	ALL	33	21	235	29	1,160935	0,075731			
All Reads	ALL	34	27	313	31	1,202652	0,067978			
All Reads	ALL	35	63	667	29	1,09836	0,042529			
All Reads	ALL	36	109	1221	29	1,162113	0,033258			
All Reads	ALL	37	168	1901	30	1,173903	0,026924			
All Reads	ALL	38	212	2342	30	1,146068	0,023682			
All Reads	ALL	39	230	2457	29	1,108247	0,022358			
All Reads	ALL	40	256	2740	28	1,110376	0,021213			
All Reads	ALL	41	348	3751	28	1,11822	0,018258			
All Reads	ALL	42	457	4581	29	1,039928	0,015365			
All Reads	ALL	43	530	5264	29	1,030384	0,014202			
All Reads	ALL	44	583	5751	29	1,023373	0,013495			
All Reads	ALL	45	647	6458	28	1,035507	0,012886			
All Reads	ALL	46	790	7776	28	1,021147	0,01158			
All Reads	ALL	47	996	10630	23	1,107218	0,010739			
All Reads	ALL	48	1254	15245	19	1,261215	0,010215			
All Reads	ALL	49	1711	19510	21	1,18295	0,008469			
All Reads	ALL	50	2182	23979	21	1,140081	0,007362			
All Reads	ALL	51	2944	32961	20	1,161507	0,006398			
All Reads	ALL	52	3939	43080	19	1,134616	0,005467			
All Reads	ALL	53	4874	52483	21	1,117101	0,004876			
All Reads	ALL	54	5808	67234	19	1,200941	0,004632			
All Reads	ALL	55	7226	80599	20	1,157153	0,004076			
All Reads	ALL	56	9018	100383	20	1,154806	0,003645			
All Reads	ALL	57	11923	129824	20	1,12961	0,003135			
All Reads	ALL	58	15278	165300	22	1,122446	0,002761			
All Reads	ALL	59	18839	200198	23	1,102456	0,002464			
All Reads	ALL	60	23375	236336	25	1,048908	0,002158			
All Reads	ALL	61	30986	311244	27	1,042065	0,001868			
All Reads	ALL	62	41394	413530	28	1,036404	0,001612			
All Reads	ALL	63	53743	535182	28	1,033092	0,001412			
All Reads	ALL	64	69641	695569	28	1,036178	0,001242			
All Reads	ALL	65	88787	880902	29	1,029289	0,001097			
All Reads	ALL	66	109778	1087012	29	1,027255	0,000985			
All Reads	ALL	67	132277	1304288	29	1,022936	0,000896			
All Reads	ALL	68	153596	1508184	29	1,01867	0,000829			
All Reads	ALL	69	172472	1692084	29	1,0178	0,000782			
All Reads	ALL	70	187396	1826822	29	1,011335	0,000748			
All Reads	ALL	71	196310	1901412	29	1,004831	0,000729			
All Reads	ALL	72	198820	1918024	29	1,000814	0,000723			
All Reads	ALL	73	194426	1864503	29	0,994874	0,000729			
All Reads	ALL	74	181503	1729023	29	0,988271	0,000752			
All Reads	ALL	75	164240	1554831	29	0,982118	0,000788			
All Reads	ALL	76	144413	1355057	29	0,973443	0,000836			
All Reads	ALL	77	121484	1128962	29	0,964094	0,000907			
All Reads	ALL	78	97751	898662	29	0,95375	0,001006			
All Reads	ALL	79	75238	683162	28	0,941989	0,00114			
All Reads	ALL	80	55930	501345	28	0,929932	0,001313			
All Reads	ALL	81	39429	348960	28	0,918162	0,001554			
All Reads	ALL	82	27989	245051	27	0,908298	0,001835			
All Reads	ALL	83	19484	169234	26	0,901091	0,00219			
All Reads	ALL	84	12074	102797	26	0,88326	0,002755			
All Reads	ALL	85	6953	58508	26	0,872976	0,003609			
All Reads	ALL	86	3852	32198	25	0,867165	0,004833			
All Reads	ALL	87	1787	14572	25	0,845968	0,007008			
All Reads	ALL	88	844	6856	24	0,842728	0,010178			
