## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl2_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 19:02:23 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	2055	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	35	0	2,226714	0,376383			
All Reads	ALL	11	3	26	30	1,102753	0,216268			
All Reads	ALL	12	18	174	29	1,229994	0,093246			
All Reads	ALL	13	61	529	29	1,103449	0,047976			
All Reads	ALL	14	99	924	31	1,187581	0,039069			
All Reads	ALL	15	232	2147	30	1,177526	0,025413			
All Reads	ALL	16	414	3905	30	1,200182	0,019206			
All Reads	ALL	17	657	6674	30	1,292549	0,015822			
All Reads	ALL	18	1179	12249	30	1,321944	0,011944			
All Reads	ALL	19	1961	20275	30	1,315557	0,009239			
All Reads	ALL	20	2947	30101	30	1,299652	0,007491			
All Reads	ALL	21	4428	43464	30	1,24896	0,005991			
All Reads	ALL	22	6577	63177	30	1,222243	0,004863			
All Reads	ALL	23	10038	96926	30	1,228625	0,003946			
All Reads	ALL	24	13131	125014	30	1,211399	0,003426			
All Reads	ALL	25	16968	156889	30	1,17649	0,00297			
All Reads	ALL	26	22322	202418	30	1,153831	0,002565			
All Reads	ALL	27	28292	251040	30	1,12903	0,002253			
All Reads	ALL	28	36690	317260	30	1,100256	0,001953			
All Reads	ALL	29	47001	400745	30	1,084894	0,001714			
All Reads	ALL	30	58328	495422	30	1,080748	0,001535			
All Reads	ALL	31	70344	595031	30	1,076314	0,001395			
All Reads	ALL	32	83849	708544	30	1,075215	0,001277			
All Reads	ALL	33	101838	859501	30	1,073897	0,001158			
All Reads	ALL	34	119577	1013007	30	1,077931	0,001071			
All Reads	ALL	35	138734	1182813	30	1,084824	0,000997			
All Reads	ALL	36	159611	1366678	30	1,089506	0,000932			
All Reads	ALL	37	181203	1559547	30	1,095114	0,000877			
All Reads	ALL	38	205339	1784681	30	1,105899	0,000828			
All Reads	ALL	39	232452	2026463	30	1,109256	0,000779			
All Reads	ALL	40	262352	2289436	30	1,110377	0,000734			
All Reads	ALL	41	289362	2521322	30	1,108698	0,000698			
All Reads	ALL	42	317347	2757129	30	1,105475	0,000666			
All Reads	ALL	43	342040	2957127	30	1,100068	0,00064			
All Reads	ALL	44	365406	3134411	30	1,091457	0,000616			
All Reads	ALL	45	387317	3290482	30	1,080984	0,000596			
All Reads	ALL	46	406405	3417484	30	1,069975	0,000579			
All Reads	ALL	47	422871	3512758	30	1,05698	0,000564			
All Reads	ALL	48	436752	3556687	30	1,036184	0,000549			
All Reads	ALL	49	445505	3564926	30	1,018179	0,000539			
All Reads	ALL	50	451658	3546188	30	0,99903	0,000531			
All Reads	ALL	51	456692	3519641	30	0,980621	0,000523			
All Reads	ALL	52	455090	3443343	30	0,962741	0,000519			
All Reads	ALL	53	447841	3332934	30	0,946955	0,000519			
All Reads	ALL	54	429853	3147279	30	0,931626	0,000525			
All Reads	ALL	55	405343	2934074	30	0,921032	0,000538			
All Reads	ALL	56	377543	2707604	30	0,912526	0,000555			
All Reads	ALL	57	353993	2519698	30	0,905691	0,000571			
All Reads	ALL	58	338145	2402663	30	0,904099	0,000583			
All Reads	ALL	59	329892	2339690	30	0,902429	0,00059			
All Reads	ALL	60	333301	2371250	30	0,905247	0,000588			
All Reads	ALL	61	351119	2517356	30	0,912256	0,000575			
All Reads	ALL	62	384616	2787836	30	0,922287	0,000552			
All Reads	ALL	63	427987	3125568	30	0,929233	0,000526			
All Reads	ALL	64	475965	3511473	30	0,93873	0,000501			
