## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl2_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl2_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:57:55 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	704	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	35	0	1,887027	0,318966			
All Reads	ALL	11	3	26	30	0,934528	0,183276			
All Reads	ALL	12	14	132	28	1,016684	0,088491			
All Reads	ALL	13	38	255	29	0,723597	0,045313			
All Reads	ALL	14	69	585	31	0,914212	0,037798			
All Reads	ALL	15	139	1216	31	0,94332	0,027052			
All Reads	ALL	16	265	2469	30	1,004651	0,020219			
All Reads	ALL	17	415	4313	30	1,120654	0,017064			
All Reads	ALL	18	825	9061	29	1,184301	0,012442			
All Reads	ALL	19	1343	14539	30	1,167343	0,009681			
All Reads	ALL	20	2087	22107	30	1,142214	0,007682			
All Reads	ALL	21	3066	30918	30	1,087375	0,006184			
All Reads	ALL	22	4735	46395	30	1,056553	0,004905			
All Reads	ALL	23	7216	71771	30	1,072488	0,004003			
All Reads	ALL	24	9519	92833	30	1,051601	0,003451			
All Reads	ALL	25	12175	115203	30	1,020316	0,003006			
All Reads	ALL	26	16011	147064	30	0,99044	0,002583			
All Reads	ALL	27	20290	181755	30	0,965927	0,002266			
All Reads	ALL	28	26239	228214	30	0,937854	0,001963			
All Reads	ALL	29	34142	292010	30	0,92225	0,001707			
All Reads	ALL	30	42965	368164	30	0,923989	0,001523			
All Reads	ALL	31	52238	447132	30	0,922974	0,00138			
All Reads	ALL	32	63055	540909	30	0,925006	0,001258			
All Reads	ALL	33	77300	664444	30	0,92687	0,001137			
All Reads	ALL	34	90557	784895	30	0,934608	0,001055			
All Reads	ALL	35	105249	922581	30	0,945206	0,000984			
All Reads	ALL	36	121174	1071889	30	0,953851	0,000921			
All Reads	ALL	37	138318	1234086	30	0,96207	0,000866			
All Reads	ALL	38	155837	1410636	30	0,976078	0,000822			
All Reads	ALL	39	174604	1594646	30	0,984805	0,00078			
All Reads	ALL	40	193878	1783682	30	0,99204	0,000743			
All Reads	ALL	41	209876	1939681	30	0,99657	0,000716			
All Reads	ALL	42	224237	2078844	30	0,999665	0,000693			
All Reads	ALL	43	233118	2171836	30	1,004596	0,000682			
All Reads	ALL	44	238368	2224784	30	1,006422	0,000675			
All Reads	ALL	45	239060	2236918	30	1,008982	0,000675			
All Reads	ALL	46	234505	2205826	29	1,014283	0,000683			
All Reads	ALL	47	225221	2124820	30	1,01731	0,000698			
All Reads	ALL	48	209803	1976036	29	1,015601	0,000722			
All Reads	ALL	49	189718	1789277	29	1,016972	0,00076			
All Reads	ALL	50	169001	1599332	29	1,020445	0,000807			
All Reads	ALL	51	146983	1398071	29	1,025657	0,000867			
All Reads	ALL	52	126311	1204083	28	1,027911	0,000937			
All Reads	ALL	53	105383	1008024	28	1,031432	0,001027			
All Reads	ALL	54	84250	806740	27	1,032533	0,00115			
All Reads	ALL	55	65472	637820	27	1,050467	0,001315			
All Reads	ALL	56	49080	483811	26	1,062946	0,001528			
All Reads	ALL	57	36190	359929	26	1,072428	0,001788			
All Reads	ALL	58	26321	261868	26	1,072803	0,002096			
All Reads	ALL	59	18173	185853	24	1,102765	0,002558			
All Reads	ALL	60	11966	122765	24	1,106281	0,003157			
All Reads	ALL	61	7628	77642	25	1,097555	0,003939			
All Reads	ALL	62	4915	50181	25	1,10092	0,004915			
All Reads	ALL	63	2703	28253	25	1,12709	0,006705			
All Reads	ALL	64	1575	16610	26	1,13718	0,008824			
All Reads	ALL	65	857	9141	28	1,150146	0,01203			
All Reads	ALL	66	435	4844	27	1,200757	0,017253			
All Reads	ALL	67	200	2205	29	1,188827	0,025317			
All Reads	ALL	68	100	1097	30	1,182896	0,035714			
All Reads	ALL	69	82	907	26	1,192706	0,039603			
All Reads	ALL	70	65	703	30	1,166224	0,043985			
All Reads	ALL	71	49	505	29	1,11131	0,049453			
All Reads	ALL	72	69	686	22	1,07205	0,040931			
All Reads	ALL	73	18	155	27	0,928537	0,074582			
All Reads	ALL	74	5	32	26	0,690113	0,121996			
All Reads	ALL	75	0	0	0	0	0			
All Reads	ALL	76	0	0	0	0	0			
All Reads	ALL	77	0	0	0	0	0			
All Reads	ALL	78	0	0	0	0	0			
All Reads	ALL	79	0	0	0	0	0			
All Reads	ALL	80	0	0	0	0	0			
All Reads	ALL	81	0	0	0	0	0			
All Reads	ALL	82	0	0	0	0	0			
All Reads	ALL	83	0	0	0	0	0			
All Reads	ALL	84	0	0	0	0	0			
All Reads	ALL	85	0	0	0	0	0			
All Reads	ALL	86	0	0	0	0	0			
All Reads	ALL	87	0	0	0	0	0			
All Reads	ALL	88	0	0	0	0	0			
All Reads	ALL	89	0	0	0	0	0			
All Reads	ALL	90	0	0	0	0	0			
All Reads	ALL	91	0	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


