## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_PAE.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_PAE_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl_result_PAE_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_PAE.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/CP013113.1_PAER4.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:55:45 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	122	16	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	4	25	30	1,086045	0,217209			
All Reads	ALL	22	17	112	31	1,144819	0,108175			
All Reads	ALL	23	40	198	32	0,860148	0,061128			
All Reads	ALL	24	68	463	33	1,18315	0,054986			
All Reads	ALL	25	79	547	32	1,203173	0,051444			
All Reads	ALL	26	110	729	32	1,151603	0,042652			
All Reads	ALL	27	161	1198	32	1,293001	0,037357			
All Reads	ALL	28	190	1387	32	1,268501	0,034061			
All Reads	ALL	29	291	1798	32	1,073654	0,02532			
All Reads	ALL	30	382	2373	31	1,079449	0,022159			
All Reads	ALL	31	526	2853	31	0,942505	0,017645			
All Reads	ALL	32	666	3066	31	0,799955	0,014447			
All Reads	ALL	33	937	4648	31	0,861974	0,012643			
All Reads	ALL	34	1344	6807	31	0,880084	0,010667			
All Reads	ALL	35	1877	9439	31	0,873835	0,008994			
All Reads	ALL	36	2492	12738	31	0,888221	0,00787			
All Reads	ALL	37	2960	16178	30	0,949732	0,007467			
All Reads	ALL	38	3623	19903	30	0,954593	0,006766			
All Reads	ALL	39	4419	24795	29	0,975007	0,006192			
All Reads	ALL	40	5552	30612	29	0,958098	0,005476			
All Reads	ALL	41	6744	38530	29	0,992771	0,005058			
All Reads	ALL	42	7560	43868	30	1,00831	0,004814			
All Reads	ALL	43	8902	53255	29	1,039539	0,004505			
All Reads	ALL	44	10068	60894	28	1,050991	0,004259			
All Reads	ALL	45	11505	69462	28	1,049128	0,003981			
All Reads	ALL	46	13206	81595	27	1,073643	0,003759			
All Reads	ALL	47	14983	92824	27	1,076538	0,003533			
All Reads	ALL	48	16989	105683	26	1,080949	0,003325			
All Reads	ALL	49	19460	123529	25	1,103047	0,003138			
All Reads	ALL	50	22696	148032	24	1,133376	0,002946			
All Reads	ALL	51	26710	174722	24	1,136689	0,002719			
All Reads	ALL	52	32427	213294	23	1,142983	0,002475			
All Reads	ALL	53	38961	256359	23	1,143369	0,002258			
All Reads	ALL	54	46945	307639	23	1,138728	0,002053			
All Reads	ALL	55	56924	364277	24	1,111998	0,001842			
All Reads	ALL	56	69051	432837	25	1,089237	0,001656			
All Reads	ALL	57	87025	539911	26	1,078068	0,001467			
All Reads	ALL	58	110173	678279	27	1,069796	0,001299			
All Reads	ALL	59	140214	847713	29	1,050571	0,001141			
All Reads	ALL	60	177619	1062069	30	1,039037	0,001008			
All Reads	ALL	61	220968	1316199	30	1,035047	0,000902			
All Reads	ALL	62	271409	1609460	31	1,030443	0,000812			
All Reads	ALL	63	323825	1909514	31	1,024661	0,000742			
All Reads	ALL	64	371789	2181279	31	1,019489	0,00069			
All Reads	ALL	65	415909	2431291	31	1,015796	0,000651			
All Reads	ALL	66	451287	2622032	31	1,009608	0,000623			
All Reads	ALL	67	473045	2732394	31	1,003711	0,000607			
All Reads	ALL	68	475358	2725373	31	0,996261	0,000603			
All Reads	ALL	69	458482	2604378	30	0,987074	0,000612			
All Reads	ALL	70	428292	2418480	30	0,981229	0,000631			
All Reads	ALL	71	384663	2143662	30	0,968375	0,000661			
All Reads	ALL	72	329437	1822176	30	0,961138	0,000712			
All Reads	ALL	73	272625	1488170	30	0,948538	0,000778			
All Reads	ALL	74	215184	1161907	29	0,938273	0,00087			
All Reads	ALL	75	161122	857585	29	0,92489	0,000999			
All Reads	ALL	76	114325	601162	29	0,913731	0,001178			
All Reads	ALL	77	76813	396316	28	0,89655	0,001424			
All Reads	ALL	78	48376	245244	28	0,88092	0,001779			
All Reads	ALL	79	29731	147888	27	0,864353	0,002248			
All Reads	ALL	80	17737	86863	27	0,850986	0,002887			
All Reads	ALL	81	9989	48252	26	0,839385	0,003821			
All Reads	ALL	82	5303	25226	26	0,826598	0,005204			
All Reads	ALL	83	2646	12300	25	0,807761	0,007283			
All Reads	ALL	84	1266	5898	24	0,809541	0,010541			
All Reads	ALL	85	629	2689	24	0,742862	0,014326			
All Reads	ALL	86	282	1299	24	0,800438	0,022209			
All Reads	ALL	87	91	422	24	0,805822	0,039227			
All Reads	ALL	88	35	165	24	0,819188	0,063774			
All Reads	ALL	89	18	113	22	1,090872	0,102621			
All Reads	ALL	90	20	88	22	0,764576	0,081504			
All Reads	ALL	91	2	10	19	0,868836	0,27475			
All Reads	ALL	92	0	0	0	0	0			
All Reads	ALL	93	0	0	0	0	0			
All Reads	ALL	94	0	0	0	0	0			
All Reads	ALL	95	0	0	0	0	0			
All Reads	ALL	96	0	0	0	0	0			
All Reads	ALL	97	0	0	0	0	0			
All Reads	ALL	98	0	0	0	0	0			
All Reads	ALL	99	0	0	0	0	0			
All Reads	ALL	100	0	0	0	0	0			


