## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_coli.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_coli_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl_result_coli_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_coli.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000913.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:54:13 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	144	15	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	4	51	26	1,939016	0,271517			
All Reads	ALL	13	23	241	36	1,593531	0,102648			
All Reads	ALL	14	30	276	30	1,399133	0,084218			
All Reads	ALL	15	93	799	32	1,306577	0,046223			
All Reads	ALL	16	149	1343	31	1,370758	0,037404			
All Reads	ALL	17	242	2168	33	1,362433	0,029261			
All Reads	ALL	18	354	3048	32	1,309432	0,023718			
All Reads	ALL	19	618	5386	32	1,325406	0,01806			
All Reads	ALL	20	860	7289	31	1,288964	0,015098			
All Reads	ALL	21	1358	11447	32	1,281926	0,011982			
All Reads	ALL	22	1825	15633	31	1,302719	0,010419			
All Reads	ALL	23	2782	23396	32	1,278956	0,008362			
All Reads	ALL	24	3544	29141	30	1,250495	0,007325			
All Reads	ALL	25	4714	38412	31	1,23922	0,006323			
All Reads	ALL	26	6193	50477	31	1,239549	0,005517			
All Reads	ALL	27	7831	63369	31	1,230639	0,004889			
