## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_kc.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_kc_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl_result_kocuria_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_kocuria.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/Kocuria_rhizophila_ATCC_9341.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:56:32 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	520	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	0	0	0	0	0			
All Reads	ALL	11	0	0	0	0	0			
All Reads	ALL	12	0	0	0	0	0			
All Reads	ALL	13	0	0	0	0	0			
All Reads	ALL	14	0	0	0	0	0			
All Reads	ALL	15	0	0	0	0	0			
All Reads	ALL	16	0	0	0	0	0			
All Reads	ALL	17	0	0	0	0	0			
All Reads	ALL	18	0	0	0	0	0			
All Reads	ALL	19	0	0	0	0	0			
All Reads	ALL	20	0	0	0	0	0			
All Reads	ALL	21	0	0	0	0	0			
All Reads	ALL	22	0	0	0	0	0			
All Reads	ALL	23	0	0	0	0	0			
All Reads	ALL	24	0	0	0	0	0			
All Reads	ALL	25	0	0	0	0	0			
All Reads	ALL	26	8	107	29	1,707673	0,165087			
All Reads	ALL	27	10	124	29	1,583188	0,142174			
All Reads	ALL	28	18	249	29	1,766191	0,111928			
All Reads	ALL	29	25	246	33	1,256336	0,080101			
All Reads	ALL	30	15	144	29	1,225694	0,102141			
All Reads	ALL	31	12	124	33	1,319323	0,118479			
All Reads	ALL	32	11	114	32	1,323192	0,123928			
All Reads	ALL	33	21	205	28	1,246366	0,08705			
All Reads	ALL	34	27	267	30	1,262578	0,077269			
All Reads	ALL	35	63	613	30	1,242312	0,050177			
All Reads	ALL	36	109	1108	30	1,297849	0,03899			
All Reads	ALL	37	168	1722	30	1,308684	0,031537			
All Reads	ALL	38	212	2027	31	1,220756	0,027115			
All Reads	ALL	39	230	2154	31	1,195718	0,025764			
All Reads	ALL	40	256	2377	29	1,185496	0,024316			
All Reads	ALL	41	348	3162	29	1,160095	0,020631			
All Reads	ALL	42	457	4041	29	1,128973	0,01776			
All Reads	ALL	43	530	4819	29	1,160892	0,016723			
All Reads	ALL	44	583	5214	30	1,141861	0,015813			
All Reads	ALL	45	647	5918	29	1,167835	0,015181			
All Reads	ALL	46	790	7123	30	1,151189	0,01364			
All Reads	ALL	47	996	10060	22	1,289584	0,012857			
All Reads	ALL	48	1254	14806	18	1,507478	0,012389			
All Reads	ALL	49	1711	18116	21	1,351833	0,010044			
All Reads	ALL	50	2182	22254	20	1,30216	0,008729			
All Reads	ALL	51	2944	30671	19	1,330151	0,007595			
All Reads	ALL	52	3939	40124	18	1,300556	0,006493			
All Reads	ALL	53	4874	48531	20	1,27129	0,005771			
All Reads	ALL	54	5808	63345	18	1,392504	0,005533			
All Reads	ALL	55	7226	74395	19	1,314488	0,004819			
All Reads	ALL	56	9018	92210	19	1,305505	0,004299			
All Reads	ALL	57	11923	117688	19	1,260252	0,003674			
All Reads	ALL	58	15278	150129	21	1,254611	0,003238			
All Reads	ALL	59	18839	178542	22	1,210022	0,002864			
All Reads	ALL	60	23375	204974	25	1,119587	0,002473			
All Reads	ALL	61	30986	268325	27	1,105622	0,002134			
All Reads	ALL	62	41394	354868	28	1,094562	0,001837			
All Reads	ALL	63	53743	454686	29	1,080191	0,001602			
All Reads	ALL	64	69641	588582	28	1,079078	0,001407			
All Reads	ALL	65	88787	740966	29	1,065515	0,001238			
All Reads	ALL	66	109778	907010	30	1,054891	0,001108			
All Reads	ALL	67	132277	1081706	30	1,044085	0,001004			
All Reads	ALL	68	153596	1248319	30	1,037663	0,000929			
All Reads	ALL	69	172472	1391300	30	1,029943	0,000873			
