## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_metagenome.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_metagenome_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl_metagenome_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_metagenome.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/metagenome.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 27 18:58:39 CEST 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	1922	32	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	29	30	1,960423	0,364041			
All Reads	ALL	11	3	44	0	1,982957	0,298942			
All Reads	ALL	12	18	215	30	1,614908	0,110136			
All Reads	ALL	13	61	547	31	1,212382	0,051838			
All Reads	ALL	14	99	989	30	1,350651	0,042948			
All Reads	ALL	15	232	2032	31	1,18418	0,02627			
All Reads	ALL	16	414	3999	31	1,305969	0,020652			
All Reads	ALL	17	657	7014	31	1,443385	0,017235			
All Reads	ALL	18	1179	12695	31	1,455797	0,012921			
All Reads	ALL	19	1961	21702	31	1,49625	0,010157			
All Reads	ALL	20	2947	32014	31	1,468729	0,008209			
All Reads	ALL	21	4428	45685	31	1,394916	0,006526			
All Reads	ALL	22	6577	68384	31	1,405751	0,005376			
All Reads	ALL	23	10038	104094	31	1,40204	0,004346			
All Reads	ALL	24	13131	134901	31	1,38899	0,003782			
All Reads	ALL	25	16968	169153	31	1,347817	0,003277			
All Reads	ALL	26	22322	217120	31	1,315069	0,002822			
All Reads	ALL	27	28292	273347	31	1,306269	0,002498			
All Reads	ALL	28	36690	346408	31	1,276504	0,002169			
All Reads	ALL	29	47001	441255	31	1,2693	0,001911			
All Reads	ALL	30	58328	545537	31	1,26453	0,001712			
All Reads	ALL	31	70344	661519	31	1,271444	0,001563			
All Reads	ALL	32	83849	791487	31	1,276227	0,001435			
All Reads	ALL	33	101838	962310	31	1,277577	0,001302			
All Reads	ALL	34	119577	1137944	31	1,286634	0,001206			
All Reads	ALL	35	138734	1329142	31	1,2953	0,001124			
All Reads	ALL	36	159611	1543011	31	1,307038	0,001052			
All Reads	ALL	37	181203	1764758	31	1,316745	0,000991			
All Reads	ALL	38	205339	2012230	31	1,324915	0,000934			
All Reads	ALL	39	232452	2283791	31	1,328327	0,000879			
All Reads	ALL	40	262352	2572361	31	1,325652	0,000827			
All Reads	ALL	41	289362	2823175	31	1,319101	0,000785			
All Reads	ALL	42	317347	3074264	31	1,309751	0,000747			
All Reads	ALL	43	342040	3272361	31	1,293499	0,000715			
