## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics CHART_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_subtilis.pdf SUMMARY_OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_subtilis_summary_metrics.txt INPUT=/home/modesto/data/freeDNA/bowtie2/mapping_ctrl_result_subtilis_sorted.bam OUTPUT=/home/modesto/data/freeDNA/gc/ctrl_gc_bias_subtilis.txt REFERENCE_SEQUENCE=/home/modesto/data/freeDNA/refs/NC_000964.3.fasta    SCAN_WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 IS_BISULFITE_SEQUENCED=false METRIC_ACCUMULATION_LEVEL=[ALL_READS] ALSO_IGNORE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 08 15:54:50 CET 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	ALL	0	0	334	15	0	0			
All Reads	ALL	1	0	0	0	0	0			
All Reads	ALL	2	0	0	0	0	0			
All Reads	ALL	3	0	0	0	0	0			
All Reads	ALL	4	0	0	0	0	0			
All Reads	ALL	5	0	0	0	0	0			
All Reads	ALL	6	0	0	0	0	0			
All Reads	ALL	7	0	0	0	0	0			
All Reads	ALL	8	0	0	0	0	0			
All Reads	ALL	9	0	0	0	0	0			
All Reads	ALL	10	2	29	30	1,36692	0,253831			
All Reads	ALL	11	3	44	0	1,382632	0,20844			
All Reads	ALL	12	14	164	33	1,10431	0,086232			
All Reads	ALL	13	38	303	29	0,751682	0,043183			
All Reads	ALL	14	69	708	31	0,967296	0,036353			
All Reads	ALL	15	139	1239	31	0,840295	0,023872			
All Reads	ALL	16	265	2655	31	0,944482	0,01833			
All Reads	ALL	17	415	4835	31	1,098306	0,015795			
All Reads	ALL	18	825	9638	30	1,101306	0,011218			
All Reads	ALL	19	1343	16307	31	1,144651	0,008964			
All Reads	ALL	20	2087	24634	31	1,112724	0,00709			
All Reads	ALL	21	3066	34220	31	1,052163	0,005688			
All Reads	ALL	22	4735	52571	31	1,04665	0,004565			
All Reads	ALL	23	7216	80374	31	1,050012	0,003704			
All Reads	ALL	24	9519	105086	31	1,040708	0,00321			
All Reads	ALL	25	12175	130158	32	1,007806	0,002793			
All Reads	ALL	26	16011	165476	31	0,974298	0,002395			
All Reads	ALL	27	20290	208136	31	0,967031	0,00212			
All Reads	ALL	28	26239	261756	31	0,940426	0,001838			
All Reads	ALL	29	34142	338552	31	0,934785	0,001607			
All Reads	ALL	30	42965	426080	31	0,934871	0,001432			
All Reads	ALL	31	52238	520597	31	0,939486	0,001302			
All Reads	ALL	32	63055	631490	31	0,944109	0,001188			
All Reads	ALL	33	77300	776647	31	0,947151	0,001075			
All Reads	ALL	34	90557	920748	31	0,958504	0,000999			
All Reads	ALL	35	105249	1080543	31	0,96783	0,000931			
All Reads	ALL	36	121174	1259809	31	0,9801	0,000873			
All Reads	ALL	37	138318	1452195	31	0,989741	0,000821			
All Reads	ALL	38	155837	1653834	31	1,000453	0,000778			
All Reads	ALL	39	174604	1869558	31	1,009392	0,000738			
All Reads	ALL	40	193878	2086381	31	1,014472	0,000702			
All Reads	ALL	41	209876	2263333	31	1,016625	0,000676			
All Reads	ALL	42	224237	2420602	31	1,017633	0,000654			
All Reads	ALL	43	233118	2514872	31	1,016987	0,000641			
All Reads	ALL	44	238368	2573309	31	1,017699	0,000634			
All Reads	ALL	45	239060	2576463	31	1,015996	0,000633			
All Reads	ALL	46	234505	2518108	31	1,012272	0,000638			
All Reads	ALL	47	225221	2412134	31	1,009643	0,00065			
All Reads	ALL	48	209803	2235897	31	1,004651	0,000672			
All Reads	ALL	49	189718	2010328	31	0,998927	0,000705			
All Reads	ALL	50	169001	1791111	31	0,999099	0,000747			
All Reads	ALL	51	146983	1558306	31	0,999449	0,000801			
All Reads	ALL	52	126311	1335030	30	0,99638	0,000862			
All Reads	ALL	53	105383	1114650	30	0,99711	0,000944			
All Reads	ALL	54	84250	887791	29	0,993381	0,001054			
All Reads	ALL	55	65472	691983	29	0,996357	0,001198			
All Reads	ALL	56	49080	520437	28	0,999629	0,001386			
All Reads	ALL	57	36190	385990	27	1,005455	0,001618			
All Reads	ALL	58	26321	278332	27	0,996864	0,00189			
All Reads	ALL	59	18173	192100	27	0,996497	0,002274			
All Reads	ALL	60	11966	126401	27	0,99581	0,002801			
All Reads	ALL	61	7628	80152	26	0,990556	0,003499			
All Reads	ALL	62	4915	51181	27	0,981658	0,004339			
All Reads	ALL	63	2703	28238	27	0,984834	0,005861			
All Reads	ALL	64	1575	16152	29	0,966765	0,007607			
All Reads	ALL	65	857	8717	31	0,958874	0,01027			
All Reads	ALL	66	435	4438	32	0,961774	0,014437			
All Reads	ALL	67	200	2017	32	0,950717	0,021169			
All Reads	ALL	68	100	1087	32	1,024719	0,031081			
All Reads	ALL	69	82	853	33	0,980642	0,033577			
All Reads	ALL	70	65	713	32	1,034073	0,038726			
All Reads	ALL	71	49	511	34	0,983105	0,04349			
All Reads	ALL	72	69	662	33	0,904449	0,035152			
All Reads	ALL	73	18	138	31	0,722739	0,061524			
All Reads	ALL	74	5	47	32	0,886141	0,129257			
All Reads	ALL	75	0	0	0	0	0			
All Reads	ALL	76	0	0	0	0	0			
All Reads	ALL	77	0	0	0	0	0			
All Reads	ALL	78	0	0	0	0	0			
All Reads	ALL	79	0	0	0	0	0			
All Reads	ALL	80	0	0	0	0	0			
All Reads	ALL	81	0	0	0	0	0			
All Reads	ALL	82	0	0	0	0	0			
All Reads	ALL	83	0	0	0	0	0			
All Reads	ALL	84	0	0	0	0	0			
All Reads	ALL	85	0	0	0	0	0			
All Reads	ALL	86	0	0	0	0	0			
All Reads	ALL	87	0	0	0	0	0			
All Reads	ALL	88	0	0	0	0	0			
All Reads	ALL	89	0	0	0	0	0			
All Reads	ALL	90	0	0	0	0	0			
All Reads	ALL	91	0	0	0	0	0			
All Reads	ALL	92	0	0	0	0	0			
