#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	profiled_A2_4	profiled_B2_4	profiled_C3_4	profiled_Ctrl2_4	profiled_Ctrl_4	profiled_D3_4	profiled_F2_4	profiled_N1_4	profiled_N2_4	profiled_N4_4	profiled_N6_4
UNCLASSIFIED	0.0	1.37863	0.0	0.0	0.0	0.0	62.40487	97.46943	0.66844	0.0	0.0
k__Bacteria	100.0	98.62136518268107	100.0	100.0	100.0	100.0	37.59512787889994	2.5305674894468004	99.33155998802742	100.0	100.0
k__Bacteria|p__Actinobacteria	46.61629	44.28292594578139	2.34892	29.72974	24.54278	0.25729	7.026217361005004	0.7203498232054325	40.25240618231632	0.06953	59.77297
k__Bacteria|p__Proteobacteria	41.35966	46.75301638241985	29.42182	41.89729	39.5655	19.87155	11.714916291498737	0.8600452464388622	50.6623437359056	13.60108	34.4831
k__Bacteria|p__Firmicutes	12.02404	7.585422854479843	68.22926	28.37297	35.89171	79.87116	18.853997985908983	0.9501721667457568	8.416810069805509	86.32939	5.74393
k__Bacteria|p__Actinobacteria|c__Actinobacteria	46.61629	44.28292594578139	2.34892	29.72974	24.54278	0.25729	7.026217361005004	0.7203498232054325	40.25240618231632	0.06953	59.77297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	41.35966	46.75301638241985	29.42182	41.89729	39.5655	19.87155	11.714916291498737	0.8600452464388622	50.6623437359056	13.60108	34.4831
k__Bacteria|p__Firmicutes|c__Bacilli	12.02404	7.585422854479843	68.22926	28.37297	35.89171	79.87116	18.853997985908983	0.9501721667457568	8.416810069805509	86.32939	5.74393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	46.61629	44.28292594578139	2.34892	29.72974	24.54278	0.25729	7.026217361005004	0.7203498232054325	40.25240618231632	0.06953	59.77297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	24.0639	30.00031356233952	3.22102	21.12651	18.35701	0.68345	4.32134189793785	0.4144034545610675	32.90234753469023	0.16441	24.69642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	17.29576	16.752702820080334	26.2008	20.77078	21.2085	19.1881	7.393570634048098	0.4456420449345435	17.76000613437136	13.43667	9.78668
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	12.02404	7.585422854479843	68.22926	28.37297	35.89171	79.87116	18.853997985908983	0.9501721667457568	8.416810069805509	86.32939	5.74393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	46.61629	44.28292594578139	2.34892	29.72974	24.54278	0.25729	7.026217361005004	0.7203498232054325	40.25240618231632	0.06953	59.77297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	24.0639	30.00031356233952	3.22102	21.12651	18.35701	0.68345	4.32134189793785	0.4144034545610675	32.90234753469023	0.16441	24.69642
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	17.29576	16.752702820080334	26.2008	20.77078	21.2085	19.1881	7.393570634048098	0.4456420449345435	17.76000613437136	13.43667	9.78668
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	12.02404	7.585422854479843	68.22926	28.37297	35.89171	79.87116	18.853997985908983	0.9501721667457568	8.416810069805509	86.32939	5.74393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Kocuria	46.61629	44.28292594578139	2.34892	29.72974	24.54278	0.25729	7.026217361005004	0.7203498232054325	40.25240618231632	0.06953	59.77297
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	24.0639	30.00031356233952	3.22102	21.12651	18.35701	0.68345	4.32134189793785	0.4144034545610675	32.90234753469023	0.16441	24.69642
