#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/modesto/anaconda3/envs/mpa/bin/metaphlan --nproc 20 --input_type fastq --force trimmo/N1_R1_pair.fastq.gz,trimmo/N1_R2_pair.fastq.gz,trimmo/N1_R1_unpair.fastq.gz,trimmo/N1_R2_unpair.fastq.gz --bowtie2out metaphlan_results/N1_4.bowtie2.bz2 -s metaphlan_results/N1_metaphlan4.sam -o metaphlan_results/profiled_N1_4.txt --unclassified_estimation
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	97.46943	
k__Bacteria	2	2.5305674894468004	
k__Bacteria|p__Firmicutes	2|1239	0.9501721667457568	
k__Bacteria|p__Proteobacteria	2|1224	0.8600452464388622	
k__Bacteria|p__Actinobacteria	2|201174	0.7203498232054325	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.9501721667457568	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.8600452464388622	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.7203498232054325	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.9501721667457568	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.7203498232054325	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.44564204493454357	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	0.41440345456106753	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.9501721667457568	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	0.7203498232054325	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.44564204493454357	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	0.41440345456106753	
