% GC;Ctrl2_R1;Ctrl2_R2;Ctrl_R1;Ctrl_R2;RepliG2_R1;RepliG2_R2;RepliG_R1;RepliG_R2;TruePrime_R1;TruePrime_R2;piDNA+D2_R1;piDNA+D2_R2;piDNA+D_R1;piDNA+D_R2;piDNA_R1;piDNA_R2;piDNA+D2_R1;piDNA+D2_R2;piPolB+D_R1;piPolB+D_R2;piPolB_R1;piPolB_R2
0;0.0016286378089197424;0.0006172463008399515;0.0023710180905204357;0.009459940917354989;0.00247172488256014;0.0012408071198117805;0.004601801249461544;0.010432247563335342;0.002818663023846187;0.0012919216997396414;0.003698860669696592;0.002980717831928671;0.005553850357654862;0.01008524662503111;0.006580793528958664;0.012840593755427863;0.005130478173144843;0.004386434171350187;0.37421541131897734;0.3695411526122779;0.11225332154644523;0.09682820658561239
1;0.0008153083563486439;0.0004317756575587161;0.0011881423394522663;0.006285231045535188;0.00123698340494563;0.0008843693021964724;0.0023020335152402404;0.006883336612392739;0.0014113192855647343;0.0008877820911031382;0.00192507830086593;0.0016884857083419105;0.0027985650759665666;0.006493889250215547;0.0034395165914786426;0.008179267477398217;0.0026930268285771967;0.0024217707660480615;0.23567526643164327;0.23909713811301261;0.057827416067711745;0.04981102968706595
2;0.0000019789037775452523;0.0004090245919828846;0.00000421327070727754;0.0026448900440235556;0.0000061653001605808476;0.0008462595984262822;0.000007930233566280358;0.002873763324651018;0.000005963320924921412;0.0007870784509183045;0.00015361642179041054;0.00045750121143861604;0.00004678896678731982;0.0024999866938076767;0.00029498613050045426;0.0029830970891133683;0.00023860367452454125;0.0005259728801596243;0.11512150094534626;0.12943581853209535;0.003189711869079318;0.003015724348663907
3;0.00000494725944386313;0.0007972764719182708;0.0000047399295456872335;0.002049829244383484;0.000013451563986721849;0.001499728930721014;0.000022091364934638138;0.0022201208197333484;0.00001258923306372298;0.001486703740623464;0.0001420139730146998;0.0007535314070753675;0.00004971327721152731;0.0019209993571487826;0.0002846833060895928;0.0022553406148755383;0.00021863683983629512;0.0007615129175745604;0.13889829852662608;0.15366313824397604;0.002510914332353984;0.003880735288343732
4;0.00000791561511018101;0.0010228087741482531;0.000005793247222506618;0.0019198734375655366;0.000019616864147302696;0.0018359910228109273;0.000030021598500918492;0.0020265747273681164;0.00001722737156088408;0.0018828930618769541;0.00012809103448384684;0.0009883139760286533;0.00004912841512668581;0.0017445572020821974;0.00027763400517689815;0.002062428250892912;0.00021514264376585205;0.0009281874355758075;0.15067025723274277;0.16265901787006135;0.0020473876256898818;0.004525027247412382
5;0.000008905066998953635;0.0012493302531424019;0.000013166470960242314;0.001796757410053798;0.00002858457347178393;0.002075297545014916;0.000049847182416619386;0.0019445157115992315;0.000027166239769086432;0.0020491865729716464;0.00013690889555338702;0.0012184565732634948;0.0000514678634660518;0.0016166074273815942;0.0002998664157477044;0.001959469404947128;0.00022362854850835665;0.0011871816716316377;0.14176085085740991;0.14516464245678226;0.0018390610159532063;0.005173353234847295
6;0.00003314663827388297;0.0017088028600977824;0.00005951244874029526;0.00160576972634969;0.00012050359404771657;0.0024474275935944204;0.00014331064944778075;0.001954136423792825;0.00013318083398991152;0.0023870737867497066;0.0001438703648188135;0.001668997827124444;0.00005731648431446678;0.001416211204905307;0.00029769740008225994;0.001766015152301629;0.0002326136241180674;0.0017041720927373028;0.11702041119731753;0.11126519446529096;0.001618582020648558;0.0059536495788356245
7;0.000054914579826880746;0.0020065450661119256;0.00009690522626738342;0.001607874273828523;0.0001995315324697074;0.0024541528354362187;0.00023507478071473913;0.0021872972134257943;0.00022528101271925333;0.002528853911746775;0.0001424780709657282;0.0020364835872252393;0.00005965593265383276;0.0013285743729185924;0.00028847908350412073;0.001652760421761267;0.00022911942804762432;0.0021133730051954543;0.10241962763317539;0.09424510623315786;0.001777720403086296;0.006250438808639162
8;0.00005145149821617655;0.002072325320929004;0.00009321861439851559;0.001664697055757018;0.00018664045031576565;0.0023224501827010025;0.0002492359120830969;0.0023265145781095576;0.00021269177965553034;0.0024937401424718;0.00014340626686778506;0.0021840346878717705;0.00005965593265383276;0.001315136725347296;0.00030366219316223236;0.001616995770011679;0.00022562523197718125;0.0022665738346157624;0.09688832210079112;0.08707815962157105;0.0019443816908756367;0.0064164102614225
9;0.00007124053599162908;0.002028801543305674;0.00013271802727924252;0.0017809733039625493;0.00024549104275767373;0.0023224501827010025;0.00036252496302995914;0.0025862738073365796;0.000282926448326827;0.0023943615501841355;0.00015500871564349582;0.0021589788405921707;0.00007310776060518721;0.001301699077776;0.00031071149407492705;0.0016197052133260414;0.00024209787059498432;0.00220070246822006;0.07666254557993572;0.06965790836570773;0.0021573377808286826;0.0070630073795575855
10;0.0002602258467472006;0.0020658956719619213;0.00037024116340201387;0.0021597918501525155;0.0006641709718443914;0.002665997953452864;0.0008355067507331091;0.0034136550559856122;0.000693070409718644;0.002660033653566492;0.00024690010994712506;0.0021724347585756593;0.00013451827951354445;0.0013262373907322802;0.0003801199953691515;0.0017969028060853642;0.00029850417858927965;0.0022171703098189856;0.05359777242355635;0.04936454031261907;0.0025844073307888667;0.008344099530728972
