"Sequence Duplication Level"	"Ctrl2_R1"	"Ctrl2_R2"	"Ctrl_R1"	"Ctrl_R2"	"RepliG2_R1"	"RepliG2_R2"	"RepliG_R1"	"RepliG_R2"	"TruePrime_R1"	"TruePrime_R2"	"piDNA+D2_R1"	"piDNA+D2_R2"	"piDNA+D_R1"	"piDNA+D_R2"	"piDNA_R1"	"piDNA_R2"	"piDNA+D2_R1"	"piDNA+D2_R2"	"piPolB+D_R1"	"piPolB+D_R2"	"piPolB_R1"	"piPolB_R2"
1	17.64074662970357	21.047613284148763	20.03823992509796	23.136572193475278	12.718110340023703	15.605039008033799	12.596342031015878	15.645890437005164	17.010871499339217	20.707021639764974	17.214574262749476	20.06207594656723	22.729165139171112	25.4609897781644	22.086084024233955	25.21507370349622	18.226464311692883	21.295218424111987	48.84654254278672	52.6832343491229	35.93886255192045	39.32465483463953
2	22.039410080763698	22.169607713655314	22.450396293991133	22.89921776720645	8.215342232048695	8.41381644351012	6.618473390400384	6.549015337754302	12.994296879832529	13.109124265969719	17.329992419802384	17.23742883232706	16.536525453128228	16.23539097084753	18.02364716541547	17.651802651022937	16.712163331518354	16.58997298203101	6.016592452206472	5.0328936726212	3.986498205055645	3.5384581860139255
3	22.035857272990107	21.79289219723183	21.304640639617443	20.503935302138242	8.57649908136372	8.65828283410118	6.4979556294292085	6.519426680032257	12.736303185475958	12.661406318741736	16.26565674443803	15.745818735822018	13.921124632753145	13.070030488414513	16.198195286179406	15.604148122506704	16.046384330895965	15.349344628014592	2.3426838703192883	2.215074138924691	2.105183502053291	1.8518182727013606
4	16.453935766788057	15.442014237149875	15.356253238879415	14.192892037436621	8.806451151361363	8.838282000591295	7.134904530716312	7.203625000698261	11.855496448669557	11.56170222606587	12.797793918500414	12.400656008676165	11.016833165326084	10.448142184460956	12.471413645580242	11.665591587134845	13.143083164882183	12.013987840211648	1.267391408583679	1.3760595715790702	1.431214282550794	1.278694773511232
5	10.10787466509958	9.191730793416049	9.33849150481161	8.56502209885027	9.041733609878154	9.102381182750106	7.881555607652264	7.9502059547205	10.58018783897121	9.816269626022962	9.530720779112604	8.892469411554947	8.443062462567696	8.02163862754972	9.184277368208683	8.371987895153891	9.634171993646074	9.061363418984874	0.8755327202887643	1.0097317145105995	1.156265760683305	1.0432843952967088
6	5.616714803566479	4.940407107256987	5.350593604904576	4.612429430728714	8.90554631900937	9.025273953489588	8.240943530996308	8.217670952369643	8.779242616890404	8.01978998952005	6.969266089336528	6.489954358330525	6.558912259398296	6.2051941914384585	6.410796526423254	5.721756615680511	6.942830238999442	6.348453997214512	0.6653690915521429	0.8044556085894226	0.968996522316491	0.7994684027126029
7	2.880864570649468	2.484832537096188	2.7673711979298385	2.292922595371226	8.650120126380054	8.444267573806208	8.227177642154166	8.27941854128051	6.903993721682957	6.1071426529078945	5.092701332337407	4.797914115404443	5.097544381509442	4.790494358494665	4.320331454934974	3.6784386045875883	4.9946149503036885	4.478234404628572	0.5651595840083483	0.6020531662358303	0.751417481528363	0.68492874734413
8	1.320006799263048	1.0805040640628245	1.3350020183703317	1.1751286359645157	7.602523131917216	7.383242208533465	7.549434465275522	7.41499872087884	5.288075507203203	4.517351469008331	3.5926338206982664	3.499273563833125	3.97473867368118	3.5078834978747544	2.8121364253622545	2.4317962262084265	3.2882077740057247	3.055454162311546	0.48622003375652784	0.5483190958124319	0.7027172949481588	0.6271694252624707
9	0.634339119751982	0.5370988738440227	0.6714795192566194	0.5327146529824452	6.6294907431998995	6.185486368270236	6.920696842150062	6.549257415772636	3.8198034962718856	3.2402594789542474	2.74451166332604	2.603777069106578	2.9454942325091955	2.6822533886593636	1.8403333893768665	1.6672676146189156	2.2229861112590665	2.01297225358553	0.45803020301021746	0.4499045294393594	0.6419210952682791	0.5230543627330594
">10"	1.2648034548936002	1.1188699955554249	1.331434229612879	1.1786878637759344	20.468163711626456	17.881545953173877	28.13376211245164	24.586210911413854	9.797426332258812	9.107219364487545	8.445340752593573	8.053816896402292	8.721078185388352	8.54985559029059	5.996292815023791	6.74083901019337	7.628562633007779	8.28564330476856	6.570025099630312	6.197164534619313	9.570012929931265	7.831188469070362
