Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Ctrl2_R1	56.184959149695466	57.0	75.63738320509124	27.27272727272727	76474759.0
Ctrl2_R2	53.452316768796834	57.0	75.6371593273017	27.27272727272727	76474759.0
Ctrl_R1	54.308915610094374	55.0	75.62715605420992	27.27272727272727	71838581.0
Ctrl_R2	51.935716025771626	56.0	75.62710999260968	27.27272727272727	71838581.0
RepliG2_R1	70.21641498721652	45.0	75.55836270426454	18.181818181818183	67415579.0
RepliG2_R2	67.46835839295774	45.0	75.55875685648269	18.181818181818183	67415579.0
RepliG_R1	72.0901915464877	44.0	75.55089645849593	18.181818181818183	66722442.0
RepliG_R2	69.35066973614391	44.0	75.55594669331796	18.181818181818183	66722442.0
TruePrime_R1	62.84440797622134	46.0	75.56932648553523	18.181818181818183	57026214.0
TruePrime_R2	59.84636353627451	46.0	75.56948528969501	18.181818181818183	57026214.0
piDNA+D2_R1	60.27824987414888	62.0	75.66787013545	27.27272727272727	81578075.0
piDNA+D2_R2	58.06814172215802	62.0	75.66699740095608	27.27272727272727	81578075.0
piDNA+D_R1	56.559107217930595	65.0	75.68583683525021	27.27272727272727	64762150.0
piDNA+D_R2	54.71615268523876	65.0	75.68663798221647	27.27272727272727	64762150.0
piDNA_R1	55.88159851403635	63.0	75.66916033574583	27.27272727272727	69872142.0
piDNA_R2	53.74159845423682	63.0	75.66975938708163	27.27272727272727	69872142.0
piDNpiDNA+D2_R1	59.785956090570465	63.0	75.6706365440524	27.27272727272727	75890757.0
piDNpiDNA+D2_R2	57.60863894311956	63.0	75.66915516470603	27.27272727272727	75890757.0
piPolB+D_R1	46.15871792187238	46.0	74.73301861365854	18.181818181818183	69333871.0
piPolB+D_R2	42.78949633795604	47.0	74.82765508650166	27.27272727272727	69333871.0
piPolB_R1	59.743129456939265	41.0	74.9482739063129	27.27272727272727	66003225.0
piPolB_R2	56.89372466373489	41.0	75.044996240714	27.27272727272727	66003225.0
