Module	Section	Sample Name	Source
FastQC	all_sections	piDNpiDNA+D2_R2	/Users/modesto/freeDNA_data/qc/B2_R2_fastqc.zip
FastQC	all_sections	RepliG2_R1	/Users/modesto/freeDNA_data/qc/D3_R1_fastqc.zip
FastQC	all_sections	Ctrl2_R2	/Users/modesto/freeDNA_data/qc/Ctrl2_R2_fastqc.zip
FastQC	all_sections	TruePrime_R1	/Users/modesto/freeDNA_data/qc/C3_R1_fastqc.zip
FastQC	all_sections	piDNA+D2_R2	/Users/modesto/freeDNA_data/qc/A2_R2_fastqc.zip
FastQC	all_sections	Ctrl_R2	/Users/modesto/freeDNA_data/qc/Ctrl_R2_fastqc.zip
FastQC	all_sections	piDNA_R2	/Users/modesto/freeDNA_data/qc/N2_R2_fastqc.zip
FastQC	all_sections	piPolB+D_R2	/Users/modesto/freeDNA_data/qc/F2_R2_fastqc.zip
FastQC	all_sections	piDNA+D_R2	/Users/modesto/freeDNA_data/qc/N6_R2_fastqc.zip
FastQC	all_sections	piPolB_R2	/Users/modesto/freeDNA_data/qc/N1_R2_fastqc.zip
FastQC	all_sections	RepliG_R1	/Users/modesto/freeDNA_data/qc/N4_R1_fastqc.zip
FastQC	all_sections	RepliG_R2	/Users/modesto/freeDNA_data/qc/N4_R2_fastqc.zip
FastQC	all_sections	piPolB_R1	/Users/modesto/freeDNA_data/qc/N1_R1_fastqc.zip
FastQC	all_sections	piDNA+D2_R1	/Users/modesto/freeDNA_data/qc/A2_R1_fastqc.zip
FastQC	all_sections	piDNA+D_R1	/Users/modesto/freeDNA_data/qc/N6_R1_fastqc.zip
FastQC	all_sections	piPolB+D_R1	/Users/modesto/freeDNA_data/qc/F2_R1_fastqc.zip
FastQC	all_sections	piDNA_R1	/Users/modesto/freeDNA_data/qc/N2_R1_fastqc.zip
FastQC	all_sections	Ctrl_R1	/Users/modesto/freeDNA_data/qc/Ctrl_R1_fastqc.zip
FastQC	all_sections	RepliG2_R2	/Users/modesto/freeDNA_data/qc/D3_R2_fastqc.zip
FastQC	all_sections	TruePrime_R2	/Users/modesto/freeDNA_data/qc/C3_R2_fastqc.zip
FastQC	all_sections	Ctrl2_R1	/Users/modesto/freeDNA_data/qc/Ctrl2_R1_fastqc.zip
FastQC	all_sections	piDNpiDNA+D2_R1	/Users/modesto/freeDNA_data/qc/B2_R1_fastqc.zip
