Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NA_R1_pair	Ctrl_R1_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65670464.0	0.0	35-76	55.0	51.611556585912	74.50650450710992	pass	pass	pass	pass	fail	fail	pass	warn	warn	pass	pass
NA_R1_unpair	Ctrl_R1_unpair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3822051.0	0.0	35-76	56.0	96.19232220783191	70.31608107793433	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
NA_R2_pair	Ctrl_R2_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65670464.0	0.0	35-76	55.0	51.54150316800501	74.49364345895287	pass	pass	pass	pass	fail	fail	pass	warn	warn	warn	pass
NA_R2_unpair	Ctrl_R2_unpair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1343066.0	0.0	35-76	59.0	97.56437595906544	68.48622480205738	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
NpiMDA+D2_R1_pair	Ctrl2_R1_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69846789.0	0.0	35-76	57.0	48.26224585295553	74.92567177282838	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
NpiMDA+D2_R1_unpair	Ctrl2_R1_unpair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3974627.0	0.0	35-76	56.0	96.95451681154306	69.19820451076289	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
NpiMDA+D2_R2_pair	Ctrl2_R2_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69846789.0	0.0	35-76	57.0	49.88623389868185	74.66240392239077	pass	pass	pass	pass	fail	fail	pass	warn	fail	pass	pass
NpiMDA+D2_R2_unpair	Ctrl2_R2_unpair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1167518.0	0.0	35-76	58.0	98.82293655791102	66.02146605020222	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
RepliG2_R1_pair	D3_R1_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62056281.0	0.0	35-76	45.0	33.0763332671405	74.96371951454842	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
RepliG2_R1_unpair	D3_R1_unpair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3247063.0	0.0	35-76	44.0	94.95174446359708	68.96585314174686	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
RepliG2_R2_pair	D3_R2_pair.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62056281.0	0.0	35-76	45.0	35.21527919946344	74.62045754884988	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
