Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
NA_R1_pair	48.388443414088	55.0	74.50650450710992	18.181818181818183	65670464.0
NA_R1_unpair	3.807677792168093	56.0	70.31608107793433	18.181818181818183	3822051.0
NA_R2_pair	48.45849683199499	55.0	74.49364345895287	18.181818181818183	65670464.0
NA_R2_unpair	2.435624040934556	59.0	68.48622480205738	18.181818181818183	1343066.0
NpiMDA+D2_R1_pair	51.73775414704447	57.0	74.92567177282838	27.27272727272727	69846789.0
NpiMDA+D2_R1_unpair	3.0454831884569415	56.0	69.19820451076289	18.181818181818183	3974627.0
NpiMDA+D2_R2_pair	50.11376610131815	57.0	74.66240392239077	27.27272727272727	69846789.0
NpiMDA+D2_R2_unpair	1.1770634420889792	58.0	66.02146605020222	18.181818181818183	1167518.0
RepliG2_R1_pair	66.9236667328595	45.0	74.96371951454842	18.181818181818183	62056281.0
RepliG2_R1_unpair	5.04825553640292	44.0	68.96585314174686	9.090909090909092	3247063.0
RepliG2_R2_pair	64.78472080053656	45.0	74.62045754884988	18.181818181818183	62056281.0
RepliG2_R2_unpair	1.0930064072096144	44.0	65.39965892197573	9.090909090909092	937029.0
RepliG_R1_pair	68.14034603126876	44.0	74.83244969641966	18.181818181818183	61170298.0
RepliG_R1_unpair	8.497689118725859	44.0	70.33629080845742	9.090909090909092	3681406.0
RepliG_R2_pair	66.73652799919867	44.0	74.46197265542176	18.181818181818183	61170298.0
RepliG_R2_unpair	3.251661741079147	44.0	66.76319421491294	9.090909090909092	895544.0
TruePrime_R1_pair	59.23937860366597	46.0	74.99746069306302	18.181818181818183	51968117.0
TruePrime_R1_unpair	4.7835773878804275	46.0	69.46628773971467	9.090909090909092	3227535.0
TruePrime_R2_pair	56.82526443293963	46.0	74.57432798652297	18.181818181818183	51968117.0
TruePrime_R2_unpair	0.9705826580115655	46.0	65.15978877371406	9.090909090909092	751611.0
piMDA+D2_R1_pair	56.30446515850458	62.0	74.89173084416662	27.27272727272727	74694662.0
piMDA+D2_R1_unpair	4.388799242847057	61.0	69.54079436428607	18.181818181818183	4112345.0
piMDA+D2_R2_pair	55.13300068867771	62.0	74.69735985953052	27.27272727272727	74694662.0
piMDA+D2_R2_unpair	1.8018945491607354	62.0	66.90859192495995	18.181818181818183	1340724.0
piMDA+D_R1_pair	49.59886783277532	65.0	74.09472480840499	18.181818181818183	58483127.0
piMDA+D_R1_unpair	6.464914143805359	65.0	70.09248531513045	18.181818181818183	3754715.0
piMDA+D_R2_pair	50.76064484441331	65.0	74.28207922261065	27.27272727272727	58483127.0
piMDA+D_R2_unpair	5.528881093705323	67.0	69.40582308188054	9.090909090909092	1584247.0
piMDA_R1_pair	49.31436500408557	62.0	74.23777608511438	18.181818181818183	62904152.0
piMDA_R1_unpair	5.6837159034360525	62.0	69.93052594071501	18.181818181818183	4243368.0
piMDA_R2_pair	49.64056420499335	63.0	74.28866280559669	18.181818181818183	62904152.0
piMDA_R2_unpair	4.0820463392118995	64.0	69.1249806578065	18.181818181818183	1628564.0
piMDpiMDA+D2_R1_pair	55.90048042748783	63.0	74.85571481487003	27.27272727272727	69085790.0
piMDpiMDA+D2_R1_unpair	5.011989529358914	62.0	69.47230884786386	18.181818181818183	4006063.0
piMDpiMDA+D2_R2_pair	55.185396754498235	63.0	74.68413375601553	27.27272727272727	69085790.0
piMDpiMDA+D2_R2_unpair	1.9926150048978712	63.0	66.96455532441414	18.181818181818183	1374339.0
piPolB+D_R1_pair	53.66520103207246	46.0	63.848564876952985	27.27272727272727	31982937.0
piPolB+D_R1_unpair	57.46061794307344	46.0	57.20784660757942	27.27272727272727	18314386.0
piPolB+D_R2_pair	55.765379240698095	47.0	62.24109271140421	27.27272727272727	31982937.0
piPolB+D_R2_unpair	60.23094150547304	47.0	55.185705415755386	27.27272727272727	7713033.0
piPolB_R1_pair	61.3605739145249	41.0	66.90408264703069	27.27272727272727	44084536.0
piPolB_R1_unpair	47.13766786350661	42.0	61.05837129788949	18.181818181818183	10484999.0
piPolB_R2_pair	63.79539390020349	42.0	67.32471245699399	27.27272727272727	44084536.0
piPolB_R2_unpair	45.86870217084241	42.0	61.04606205262567	18.181818181818183	5981149.0
