Module	Section	Sample Name	Source
FastQC	all_sections	piMDA+D2_R2_pair	/Users/modesto/freeDNA_data/qc_post/A2_R2_pair_fastqc.zip
FastQC	all_sections	RepliG_R2_pair	/Users/modesto/freeDNA_data/qc_post/N4_R2_pair_fastqc.zip
FastQC	all_sections	NA_R2_pair	/Users/modesto/freeDNA_data/qc_post/Ctrl_R2_pair_fastqc.zip
FastQC	all_sections	piMDpiMDA+D2_R2_pair	/Users/modesto/freeDNA_data/qc_post/B2_R2_pair_fastqc.zip
FastQC	all_sections	TruePrime_R1_unpair	/Users/modesto/freeDNA_data/qc_post/C3_R1_unpair_fastqc.zip
FastQC	all_sections	piMDA+D2_R2_unpair	/Users/modesto/freeDNA_data/qc_post/A2_R2_unpair_fastqc.zip
FastQC	all_sections	piPolB_R2_unpair	/Users/modesto/freeDNA_data/qc_post/N1_R2_unpair_fastqc.zip
FastQC	all_sections	RepliG_R2_unpair	/Users/modesto/freeDNA_data/qc_post/N4_R2_unpair_fastqc.zip
FastQC	all_sections	piPolB+D_R2_pair	/Users/modesto/freeDNA_data/qc_post/F2_R2_pair_fastqc.zip
FastQC	all_sections	TruePrime_R2_unpair	/Users/modesto/freeDNA_data/qc_post/C3_R2_unpair_fastqc.zip
FastQC	all_sections	piMDA+D2_R1_unpair	/Users/modesto/freeDNA_data/qc_post/A2_R1_unpair_fastqc.zip
FastQC	all_sections	piPolB_R1_unpair	/Users/modesto/freeDNA_data/qc_post/N1_R1_unpair_fastqc.zip
FastQC	all_sections	NpiMDA+D2_R1_pair	/Users/modesto/freeDNA_data/qc_post/Ctrl2_R1_pair_fastqc.zip
FastQC	all_sections	RepliG_R1_unpair	/Users/modesto/freeDNA_data/qc_post/N4_R1_unpair_fastqc.zip
FastQC	all_sections	TruePrime_R1_pair	/Users/modesto/freeDNA_data/qc_post/C3_R1_pair_fastqc.zip
FastQC	all_sections	piPolB_R2_pair	/Users/modesto/freeDNA_data/qc_post/N1_R2_pair_fastqc.zip
FastQC	all_sections	piMDA_R2_pair	/Users/modesto/freeDNA_data/qc_post/N2_R2_pair_fastqc.zip
FastQC	all_sections	RepliG2_R1_pair	/Users/modesto/freeDNA_data/qc_post/D3_R1_pair_fastqc.zip
FastQC	all_sections	piMDA+D_R1_pair	/Users/modesto/freeDNA_data/qc_post/N6_R1_pair_fastqc.zip
FastQC	all_sections	piMDpiMDA+D2_R2_unpair	/Users/modesto/freeDNA_data/qc_post/B2_R2_unpair_fastqc.zip
FastQC	all_sections	piPolB+D_R1_pair	/Users/modesto/freeDNA_data/qc_post/F2_R1_pair_fastqc.zip
FastQC	all_sections	piMDA+D_R2_unpair	/Users/modesto/freeDNA_data/qc_post/N6_R2_unpair_fastqc.zip
FastQC	all_sections	RepliG2_R2_unpair	/Users/modesto/freeDNA_data/qc_post/D3_R2_unpair_fastqc.zip
FastQC	all_sections	piMDA+D2_R1_pair	/Users/modesto/freeDNA_data/qc_post/A2_R1_pair_fastqc.zip
FastQC	all_sections	piMDA_R1_unpair	/Users/modesto/freeDNA_data/qc_post/N2_R1_unpair_fastqc.zip
FastQC	all_sections	NA_R1_unpair	/Users/modesto/freeDNA_data/qc_post/Ctrl_R1_unpair_fastqc.zip
FastQC	all_sections	NpiMDA+D2_R2_unpair	/Users/modesto/freeDNA_data/qc_post/Ctrl2_R2_unpair_fastqc.zip
FastQC	all_sections	RepliG_R1_pair	/Users/modesto/freeDNA_data/qc_post/N4_R1_pair_fastqc.zip
FastQC	all_sections	piMDpiMDA+D2_R1_pair	/Users/modesto/freeDNA_data/qc_post/B2_R1_pair_fastqc.zip
FastQC	all_sections	NA_R1_pair	/Users/modesto/freeDNA_data/qc_post/Ctrl_R1_pair_fastqc.zip
FastQC	all_sections	piPolB+D_R1_unpair	/Users/modesto/freeDNA_data/qc_post/F2_R1_unpair_fastqc.zip
FastQC	all_sections	RepliG2_R2_pair	/Users/modesto/freeDNA_data/qc_post/D3_R2_pair_fastqc.zip
FastQC	all_sections	RepliG2_R1_unpair	/Users/modesto/freeDNA_data/qc_post/D3_R1_unpair_fastqc.zip
FastQC	all_sections	piMDA+D_R2_pair	/Users/modesto/freeDNA_data/qc_post/N6_R2_pair_fastqc.zip
FastQC	all_sections	piMDA_R2_unpair	/Users/modesto/freeDNA_data/qc_post/N2_R2_unpair_fastqc.zip
FastQC	all_sections	piMDA_R1_pair	/Users/modesto/freeDNA_data/qc_post/N2_R1_pair_fastqc.zip
FastQC	all_sections	NA_R2_unpair	/Users/modesto/freeDNA_data/qc_post/Ctrl_R2_unpair_fastqc.zip
FastQC	all_sections	NpiMDA+D2_R1_unpair	/Users/modesto/freeDNA_data/qc_post/Ctrl2_R1_unpair_fastqc.zip
FastQC	all_sections	piPolB+D_R2_unpair	/Users/modesto/freeDNA_data/qc_post/F2_R2_unpair_fastqc.zip
FastQC	all_sections	piMDpiMDA+D2_R1_unpair	/Users/modesto/freeDNA_data/qc_post/B2_R1_unpair_fastqc.zip
FastQC	all_sections	TruePrime_R2_pair	/Users/modesto/freeDNA_data/qc_post/C3_R2_pair_fastqc.zip
FastQC	all_sections	piPolB_R1_pair	/Users/modesto/freeDNA_data/qc_post/N1_R1_pair_fastqc.zip
FastQC	all_sections	piMDA+D_R1_unpair	/Users/modesto/freeDNA_data/qc_post/N6_R1_unpair_fastqc.zip
FastQC	all_sections	NpiMDA+D2_R2_pair	/Users/modesto/freeDNA_data/qc_post/Ctrl2_R2_pair_fastqc.zip
