% GC	NA_R1_pair	NA_R1_unpair	NA_R2_pair	NA_R2_unpair	NA2_R1_pair	NA2_R1_unpair	NA2_R2_pair	NA2_R2_unpair	RepliG2_R1_pair	RepliG2_R1_unpair	RepliG2_R2_pair	RepliG2_R2_unpair	RepliG_R1_pair	RepliG_R1_unpair	RepliG_R2_pair	RepliG_R2_unpair	TruePrime_R1_pair	TruePrime_R1_unpair	TruePrime_R2_pair	TruePrime_R2_unpair	piMDA+D2_R1_pair	piMDA+D2_R1_unpair	piMDA+D2_R2_pair	piMDA+D2_R2_unpair	piMDA+D_R1_pair	piMDA+D_R1_unpair	piMDA+D_R2_pair	piMDA+D_R2_unpair	piMDA_R1_pair	piMDA_R1_unpair	piMDA_R2_pair	piMDA_R2_unpair	piMDA_R1_pair	piMDA_R1_unpair	piMDA_R2_pair	piMDA_R2_unpair	piPolB+D_R1_pair	piPolB+D_R1_unpair	piPolB+D_R2_pair	piPolB+D_R2_unpair	piPolB_R1_pair	piPolB_R1_unpair	piPolB_R2_pair	piPolB_R2_unpair
0	0	0	0	0	0.000001067518643332403	0.00001665839577316529	0	0	0	0	0.000001194205124410618	0	0.000002435178115502349	0.000018408386934721006	0	0	0.0000014370130281684804	0.000020639941382566474	0	0	0.0004977520832632902	0.029505067089983322	0.002297547670823799	0.004771585163110261	0.00016545799289489536	0.009732596900167888	0.0009694401188075305	0.0012596261681458178	0.00043268664357901413	0.05907726166433228	0.00469066517993891	0.006496036098472598	0.0005627759876488136	0.05408908675380872	0.0035182926833198613	0.008026372630807386	0.26613187695599205	0.5886496587235466	0.34040923601906103	0.3093094657997117	0.0006933444553797259	0.006864033856846999	0.001601038605242393	0.002347758222854791
1	5.629491419360293e-7	0.00003544411610393668	0.0000016893526454721835	0.00004863886566383053	0.000002135037286664806	0.00001665839577316529	0.0000010615701110264332	0	0.000001202876493892163	0.00006094937798620208	0.0000041797179354371625	0.00006575813041744247	0.0000012175890577511744	0.00008283774120624453	0.000003021734727504525	0.00007069296067774755	0.000003592532570421201	0.00005159985345641618	0.0000028484613370260214	0	0.00031820223358915747	0.01599271905729041	0.0012168162113096212	0.00290547017357704	0.00010967859377502533	0.005234413277488818	0.0005250084799256367	0.0006718006230111028	0.00030872776731043173	0.03165419264337547	0.002543801823119641	0.003796121095044925	0.0003584732105234301	0.0288730005197805	0.0018800037239113763	0.0047512435688112685	0.1565042274729532	0.3399439559719568	0.19517318960417876	0.18163510182719056	0.00038698295183984703	0.004009519776956299	0.000846958267690382	0.001703086907562697
2	0.0000011258982838720587	0.00007088823220787336	0.000003378705290944367	0.00009727773132766107	0.0000032025559299972087	0.00001665839577316529	0.0000021231402220528663	0	0.000002405752987784326	0.00012189875597240416	0.000007165230746463708	0.00013151626083488495	0	0.00014726709547776805	0.00000604346945500905	0.0001413859213554951	0.0000057480521126739214	0.0000825597655302659	0.000005696922674052043	0	0.00014014863266230917	0.0023182552713558323	0.00013509143243927224	0.0008503815142176702	0.00005577939911987003	0.0007272512443852389	0.0000824653607557055	0.00010496884734548481	0.00018827716112492236	0.004096424930319178	0.0003817166372092073	0.0010556058660017972	0.00014877985880370933	0.003615358441596004	0.0002320461739227756	0.0014761145068151514	0.057976900613331765	0.09752688473617772	0.059279386271343104	0.06511409254239836	0.0000798885260426957	0.0011330055885500655	0.00008550666584167477	0.0010536046123057364
3	0.0000011258982838720587	0.00007088823220787336	0.000003941822839435095	0.00007295829849574581	0.000004270074573329612	0.00003331679154633058	0.0000021231402220528663	0.00005336899805576741	0.000006615820716406897	0.00018284813395860622	0.000010150743557490254	0.0001643953260436062	0.0000012175890577511744	0.00019328806281457056	0.000009065204182513576	0.0001413859213554951	0.000007185065140842402	0.00012383964829539885	0.00000925749934533457	0.000040782485390694174	0.00013017364101374624	0.0018562253746170828	0.00013310479372693	0.0007086512618480586	0.00006455368662187206	0.0006464455505646567	0.00008120634761439703	0.00014695638628367874	0.00019061600784697107	0.0037398695688794044	0.0003501020690967884	0.0007917043995013481	0.00014177211183107085	0.003075132467564417	0.00021808043197371965	0.0013607930609702177	0.0956926628997445	0.13386216995521996	0.0937069106020007	0.10593517039979118	0.00007549099249906107	0.0010340051002301568	0.0000729755165372914	0.000947763053078676
4	0.000002814745709680147	0.00009747131928582586	0.000009009880775851644	0.00014591659699149162	0.000007472630503326821	0.00012493796829873968	0.000010615701110264332	0.00026684499027883704	0.000020448900396166772	0.00048759502388961664	0.000029258025548060144	0.0003287906520872124	0.000009740712462009396	0.0004510054799006647	0.000024778224765537107	0.00035346480338873775	0.000013651623767600564	0.00031991909142978036	0.00002492403669897769	0.0004893898246883301	0.00011969989978275516	0.0014995707174854161	0.00013409811308310113	0.0006377861356632528	0.00007583491341016037	0.0005656398567440746	0.0000761702950491631	0.00012596261681458175	0.00019120071952748326	0.003351620397533873	0.000305022036788339	0.0005278029330008986	0.00014123305437163712	0.002343749610413961	0.0002143204245258969	0.0011532144584493371	0.13647203916464057	0.17941292606314965	0.12663909249126104	0.14976074368339054	0.00006962761444088156	0.0007425036623993147	0.00007150126367795219	0.00071683601476509
5	0.000006192440561296323	0.00015949852246771506	0.00001801976155170329	0.00026751376115106794	0.000012276464398322634	0.00021655914505114878	0.000022292972331555097	0.00042695198444613926	0.000036687733063710974	0.000741550765498792	0.00005015661522524596	0.0005918231737569822	0.000023134192097272313	0.0006903145100520377	0.000045326020912567874	0.0005655436854219804	0.000022992208450695686	0.0005056785638728786	0.00004343903538964683	0.0009787796493766602	0.00011670740228818628	0.0014347244161887493	0.00013409811308310113	0.0004960558832936409	0.0000795953223395898	0.0005656398567440746	0.00006672769648934951	0.00012596261681458175	0.00019470898961055632	0.0030822230133349324	0.00028218929315159194	0.0004872027073854449	0.0001428502267499383	0.002144281558463837	0.00021056041707807416	0.00106095730177339	0.14019998352498186	0.18462944991595956	0.11824329175931826	0.14814165448149036	0.00005863378058179501	0.0004867524009062174	0.00007666114868563945	0.0005725066158190987
6	0.00003884349079358603	0.00031013601590944593	0.00004899122671869332	0.00038911092531064426	0.00004003194912496511	0.0003081803218035579	0.00005148615038478201	0.00042695198444613926	0.00012870778484646146	0.0009548735884504991	0.00014688723030250602	0.0008877347606354735	0.00008644882310033338	0.0007915606381930033	0.00012509981771868735	0.0009897014494884657	0.00011424253573939417	0.0008049577139200924	0.00015452902753366167	0.001427386988674296	0.00012269239727732403	0.001353666539567916	0.00013012483565841664	0.0005432993007501783	0.00007082103483758779	0.0004938125733480016	0.000059803124212152855	0.0001679501557527757	0.00020055610641567817	0.002551351697413492	0.0002780911083962784	0.0005684031586163525	0.00015902195053295022	0.0019448135065137126	0.00020411469002466371	0.0010378930126044034	0.12302779380975262	0.16367461832094382	0.09837620855468086	0.12437943398844799	0.0000505716357517982	0.00040150198040851833	0.00006855275795927373	0.0005243968161704349
7	0.00006811684617425955	0.0006379940898708602	0.00008052580943417408	0.000632305253629797	0.0000736587863899358	0.000633019039380281	0.00009341816977032613	0.0004803209825019066	0.00021651776890058936	0.0014729433013332168	0.0002495888710018192	0.0014466788691837346	0.00015402501580552355	0.0011505241834200628	0.00022481706372633667	0.0019794028989769314	0.00020261883697175569	0.001269356395027838	0.00029339151771368025	0.002365384152660262	0.0001461336276514469	0.0012645028752849995	0.00013856805018587116	0.0008740032229459389	0.00007144776965915936	0.00036811482740487395	0.00006672769648934951	0.00031490654203645445	0.00021751274515053142	0.0020997149062564452	0.00028160383818654714	0.0006293034970395331	0.00018651388096407043	0.001836768311707395	0.0002218404394215424	0.0011762787476183238	0.10794805713342623	0.13709449455113282	0.08998405499942443	0.1064058746832302	0.000057900858324522566	0.00037125183119965735	0.00006044436723290802	0.0004907199564163704
8	0.00007149454102587573	0.000939269076754322	0.00009854557098587738	0.0010457356117723566	0.00008326645417992743	0.0009745161527301696	0.00013216547882279094	0.0006671124756970925	0.00023456091630897182	0.002072278851530871	0.00028899764010736955	0.0023015345646104864	0.0001704624680851644	0.0017764093392005774	0.0002731648193664091	0.0027923719467710284	0.00020908539559851388	0.00175439501751815	0.0003503607444542007	0.002895556462739286	0.00016059736554186317	0.001223973936974583	0.00016340103409014914	0.001110220310228625	0.00007771511787487509	0.0003770932378293831	0.0000805768410437428	0.00046186292832013317	0.0002274528437192385	0.002075944548827127	0.00028511656797681594	0.0006902038354627137	0.0002118495815574557	0.0019614358441762225	0.0002503090672407718	0.0014530502176461648	0.09074208790725505	0.10716712555396109	0.07606004620516964	0.08586180262448018	0.0000740251479845162	0.0003685018176352155	0.00006412999938125606	0.000485908976451504
9	0.0000979531506968691	0.0012759881797417205	0.00016105161886834817	0.0016780408654021534	0.00011475825415823332	0.0013743176512861365	0.0001947981153733505	0.001334224951394185	0.0003127478884119624	0.002976361291659535	0.00042274861404135875	0.004077004085881433	0.0002423002224924837	0.0028809125552838374	0.00039886898403059727	0.0038174198765983675	0.00029889870985904386	0.002796712057337757	0.0004778293892861151	0.004282160966022888	0.00016907610844314167	0.0013212433889195827	0.0002185302583576463	0.0013936808149678484	0.00007332797412387406	0.0006195103192911294	0.00009946203816337002	0.000503850467258327	0.0002490871758981892	0.0022819543132145516	0.00030677840168347344	0.0009947055275786167	0.0002323337650159374	0.0021775262337888576	0.00027018339232212066	0.0017298216876740057	0.0629865897499696	0.07250328091129327	0.05116624173259128	0.05924864980479292	0.00008062144829996814	0.0003575017633774479	0.00007592402225596984	0.0005484517159947668
