GC,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
NA,0,0,0,0,0,0,0,0,15,24,56,7,13,40,14,0,0,0,0,0,0
NA2,0,0,0,0,0,0,0,1,15,26,52,7,13,32,8,0,0,0,0,0,0
piMDA+D,0,0,0,0,0,0,0,0,11,25,56,9,16,33,8,0,0,0,0,0,0
piMDA,0,0,0,0,0,0,0,2,15,28,52,9,18,43,14,0,0,0,0,0,0
RP-MDA,0,0,0,0,0,0,0,0,15,25,56,10,16,37,11,0,0,0,0,0,0
PrimPol-MDA,0,0,0,0,0,0,0,1,13,28,60,7,28,240,471,72,0,0,0,0,0
piPolB+D,0,0,0,0,0,0,0,2,8,28,67,4,2,0,0,0,0,0,0,0,0
piMDA2,0,0,0,0,0,0,0,2,14,33,53,10,17,55,21,0,0,0,0,0,0
RP-MDA2,0,0,0,0,0,0,0,2,14,33,65,37,403,1307,415,19,0,0,0,0,0
piMDA+D2,0,0,0,0,0,0,0,0,17,27,54,7,14,39,10,0,0,0,0,0,0
