All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     NA           NA_2         Phi29+RP      Phi29+RP_2   PrimPol+Phi29  piPolB+D     piMDA        piMDA_2       piMDA+D      piMDA+D_2  
# contigs (>= 0 bp)          349          325          5634          1429         344            62919        501          546           394          363        
# contigs (>= 1000 bp)       160          148          1249          705          158            275          194          173           162          149        
# contigs (>= 5000 bp)       131          119          265           286          127            233          155          138           133          119        
# contigs (>= 10000 bp)      122          112          157           207          117            214          144          127           123          107        
# contigs (>= 25000 bp)      110          98           82            147          105            166          125          111           108          97         
# contigs (>= 50000 bp)      81           71           42            79           74             108          90           83            79           69         
Total length (>= 0 bp)       17916599     17919452     14876408      17725081     17906725       21810268     17962982     18012005      17923857     17924698   
Total length (>= 1000 bp)    17892407     17898577     13219656      17448112     17878713       17870792     17924276     17966549      17896678     17896845   
Total length (>= 5000 bp)    17822650     17829957     11250325      16550613     17800929       17773166     17831836     17882519      17828017     17826823   
Total length (>= 10000 bp)   17761419     17780496     10492784      16010647     17729506       17637727     17753541     17810225      17761121     17743930   
Total length (>= 25000 bp)   17556248     17544929     9370730       15022627     17523481       16842264     17440941     17528353      17509118     17578496   
Total length (>= 50000 bp)   16498733     16546028     7917224       12571263     16356077       14785306     16184156     16473770      16477335     16559508   
# contigs                    169          154          2295          920          170            289          205          181           168          158        
Largest contig               1042225      1046588      2089305       2086699      1046726        610348       2071182      1043422       1042019      2086696    
Total length                 17899057     17903287     13950118      17608082     17887807       17880904     17932358     17972980      17901308     17903920   
Reference length             17818642     17818642     17818642      17818642     17818642       17818642     17818642     17818642      17818642     17818642   
N50                          271299       310147       78604         116557       269691         131949       239546       259558        304667       338304     
N90                          57777        59674        1702          13644        57777          31809        50678        57624         57984        59674      
L50                          18           16           27            31           17             36           21           21            18           15         
L90                          75           64           728           193          70             141          90           78            73           62         
# misassemblies              52           53           93            56           53             45           65           66            52           52         
# misassembled contigs       23           22           86            34           23             29           29           35            23           23         
Misassembled contigs length  5929686      6317121      5276981       5307327      5909034        4521393      7396030      8148728       6365130      7354160    
# local misassemblies        52           51           328           175          53             51           63           100           52           51         
# scaffold gap ext. mis.     0            0            0             0            0              0            0            0             0            0          
# scaffold gap loc. mis.     0            0            0             0            0              0            0            0             0            0          
# unaligned mis. contigs     0            0            6             1            0              1            0            0             0            0          
# unaligned contigs          4 + 29 part  4 + 27 part  39 + 51 part  8 + 33 part  7 + 27 part    8 + 37 part  6 + 31 part  10 + 30 part  4 + 29 part  6 + 27 part
Unaligned length             609019       609660       567917        610134       609322         607152       619571       624369        615620       616502     
Genome fraction (%)          97.773       97.709       75.445        96.044       97.564         97.624       97.732       97.722        97.634       97.752     
Duplication ratio            1.001        1.001        1.006         1.000        1.001          1.001        1.003        1.004         1.001        1.001      
# N's per 100 kbp            0.00         0.00         0.00          0.00         0.00           0.00         0.00         0.00          0.00         0.00       
# mismatches per 100 kbp     182.41       182.35       168.47        186.28       183.34         182.05       182.83       181.65        182.19       182.26     
# indels per 100 kbp         6.68         6.60         12.37         7.90         6.71           7.75         6.63         6.34          6.46         6.38       
Largest alignment            1042225      1036878      995045        1200132      1036878        610348       1028984      1027920       1015468      1199874    
Total aligned length         17283376     17275338     13367802      16979483     17261806       17266568     17304905     17340252      17278839     17270286   
NA50                         164022       200142       59674         88547        177832         102434       133707       149930        155806       202853     
NA90                         35140        38121        1046          5221         35140          23873        31410        31989         35063        35183      
LA50                         24           21           35            43           22             46           33           32            24           19         
LA90                         113          106          1185          300          108            182          137          130           115          103        
K-mer-based compl. (%)       86.81        86.82        65.96         84.53        86.82          86.64        86.71        86.55         86.81        86.82      
K-mer-based cor. length (%)  84.63        82.42        61.25         77.20        82.45          91.36        83.67        84.30         87.21        76.49      
K-mer-based mis. length (%)  14.40        16.67        23.81         18.88        16.27          6.56         15.35        14.63         11.84        22.50      
# k-mer-based misjoins       6            5            5             5            6              5            5            5             6            5          
