All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    NA     NA_2   Phi29+RP  Phi29+RP_2  PrimPol+Phi29  piPolB+D  piMDA  piMDA_2  piMDA+D  piMDA+D_2
# contigs (>= 1000 bp)      4      4      20        8           7              7         5      9        4        5        
# contigs (>= 5000 bp)      3      3      3         6           6              6         3      4        3        4        
# contigs (>= 10000 bp)     3      3      3         5           5              6         3      3        3        3        
# contigs (>= 25000 bp)     1      1      2         3           3              2         1      1        1        1        
# contigs (>= 50000 bp)     0      0      0         0           0              0         0      0        0        0        
Total length (>= 1000 bp)   63327  63447  127047    143557      142234         139403    67145  80813    63339    68825    
Total length (>= 5000 bp)   58795  58915  93566     137424      137702         134871    58684  63393    58807    64293    
Total length (>= 10000 bp)  58795  58915  93566     132237      131999         134871    58684  57895    58807    58795    
Total length (>= 25000 bp)  29014  29014  79305     102456      102456         71050     29014  33491    29014    29014    
Total length (>= 50000 bp)  0      0      0         0           0              0         0      0        0        0        
# contigs                   4      4      39        8           7              8         6      10       4        6        
Largest contig              29014  29014  48855     38979       38979          42036     29014  33491    29014    29014    
Total length                63327  63447  140980    143557      142234         140346    67749  81334    63339    69326    
GC (%)                      58.87  58.90  61.30     61.31       61.13          59.23     59.25  58.70    58.88    58.96    
N50                         15419  15419  30450     34463       34463          29014     15419  14362    15419    15419    
N90                         14362  14482  1004      14362       14124          13297     4532   3461     14374    5498     
L50                         2      2      2         2           2              2         2      2        2        2        
L90                         3      3      20        5           5              6         4      7        3        4        
# N's per 100 kbp           0.00   0.00   0.00      0.00        0.00           0.00      0.00   0.00     0.00     0.00     
