All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     NA          NA_2        Phi29+RP    Phi29+RP_2  PrimPol+Phi29  piPolB+D    piMDA       piMDA_2     piMDA+D     piMDA+D_2 
# contigs (>= 1000 bp)       78          80          90          86          77             105         87          79          80          80        
# contigs (>= 5000 bp)       60          62          67          67          62             83          67          61          64          63        
# contigs (>= 10000 bp)      55          57          59          61          54             73          61          55          58          55        
# contigs (>= 25000 bp)      50          51          52          55          50             58          54          49          52          51        
# contigs (>= 50000 bp)      33          32          30          34          34             36          37          33          33          33        
Total length (>= 1000 bp)    4555135     4556694     4596316     4971566     4553596        4549629     5051227     4569752     4555608     4558766   
Total length (>= 5000 bp)    4515330     4516148     4546009     4930015     4521509        4502175     5005959     4530178     4520428     4521706   
Total length (>= 10000 bp)   4477264     4478082     4486692     4886405     4461979        4425893     4960431     4486112     4476696     4462207   
Total length (>= 25000 bp)   4397189     4376492     4370176     4782948     4396909        4158229     4845134     4384223     4375106     4389685   
Total length (>= 50000 bp)   3778972     3682443     3572701     4027509     3833287        3382479     4238738     3815344     3686463     3747791   
# contigs                    84          84          96          91          83             111         92          82          84          84        
Largest contig               269698      269698      327461      418864      269691         269884      495927      312907      327365      269698    
Total length                 4559752     4559895     4600897     4975634     4558347        4554118     5055106     4572235     4558861     4562017   
Reference length             4641652     4641652     4641652     4641652     4641652        4641652     4641652     4641652     4641652     4641652   
GC (%)                       50.74       50.74       50.72       51.93       50.74          50.74       52.21       50.75       50.74       50.73     
Reference GC (%)             50.79       50.79       50.79       50.79       50.79          50.79       50.79       50.79       50.79       50.79     
N50                          112343      105741      114111      112343      107600         78604       105741      107980      105741      107600    
NG50                         112343      105683      114111      112765      103495         78604       112343      107980      105741      105625    
N90                          40160       35183       34099       35140       35183          26744       40160       35263       35140       35183     
NG90                         35140       33282       33077       42482       34064          24205       54996       35183       33282       32928     
L50                          14          14          14          14          14             19          14          14          15          14        
LG50                         14          15          14          13          15             19          12          14          15          15        
L90                          41          43          45          46          41             56          45          41          44          42        
LG90                         43          45          46          38          43             59          36          42          46          44        
# misassemblies              1           2           15          1           2              1           1           5           2           1         
# misassembled contigs       1           1           13          1           1              1           1           5           2           1         
Misassembled contigs length  107942      186967      1495446     107980      186967         116007      185963      509118      297660      185116    
# local misassemblies        5           5           12          4           6              9           7           18          8           5         
# scaffold gap ext. mis.     0           0           0           0           0              0           0           0           0           0         
# scaffold gap loc. mis.     0           0           0           0           0              0           0           0           0           0         
# unaligned mis. contigs     0           0           0           0           0              0           1           0           0           0         
# unaligned contigs          0 + 0 part  0 + 0 part  0 + 0 part  0 + 1 part  0 + 0 part     0 + 0 part  0 + 1 part  0 + 0 part  0 + 0 part  0 + 0 part
Unaligned length             0           0           0           418679      0              0           495758      0           0           0         
Genome fraction (%)          98.192      98.196      98.122      98.125      98.163         98.047      98.143      98.168      98.175      98.243    
Duplication ratio            1.000       1.000       1.010       1.000       1.000          1.000       1.001       1.003       1.000       1.000     
# N's per 100 kbp            0.00        0.00        0.00        0.00        0.00           0.00        0.00        0.00        0.00        0.00      
# mismatches per 100 kbp     5.57        5.48        5.26        6.39        6.47           3.87        5.11        5.29        5.81        5.46      
# indels per 100 kbp         0.44        0.48        0.57        0.48        0.50           0.70        0.79        0.28        0.50        0.39      
Largest alignment            269647      269647      327359      269647      269640         269833      269647      312907      327263      269647    
Total aligned length         4558678     4558467     4599547     4555827     4556921        4552938     4557763     4570672     4557389     4560109   
NA50                         112343      102431      91718       95401       102431         78604       88326       102096      102078      102431    
NGA50                        112343      102431      91718       102078      102096         78604       96249       102078      102078      102431    
NA90                         40160       35183       26637       8055        35183          26536       1163        35263       35140       35183     
NGA90                        33282       33282       25860       31809       34064          23933       31581       32326       33282       32928     
LA50                         14          15          16          17          15             19          19          14          16          15        
LGA50                        14          15          16          16          16             19          17          15          16          15        
LA90                         41          44          52          63          42             57          84          43          46          43        
LGA90                        44          46          53          48          44             60          49          45          48          45        
K-mer-based compl. (%)       99.23       99.22       98.26       99.18       99.20          99.12       99.19       98.96       99.22       99.21     
K-mer-based cor. length (%)  99.45       98.60       99.52       90.32       99.63          98.35       89.73       99.56       96.18       99.54     
K-mer-based mis. length (%)  0.00        0.94        0.00        0.86        0.00           1.11        0.00        0.00        3.41        0.00      
# k-mer-based misjoins       0           1           0           1           0              1           0           0           2           0         
