Assembly	NA	NA_2	Phi29+RP	Phi29+RP_2	PrimPol+Phi29	piPolB+D	piMDA	piMDA_2	piMDA+D	piMDA+D_2
# misassemblies	0	0	11	5	0	0	3	6	0	0
  # contig misassemblies	0	0	11	5	0	0	3	6	0	0
    # c. relocations	0	0	10	4	0	0	3	6	0	0
    # c. translocations	0	0	0	0	0	0	0	0	0	0
    # c. inversions	0	0	1	1	0	0	0	0	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	0	0	11	5	0	0	3	3	0	0
Misassembled contigs length	0	0	34603	6627	0	0	450753	1091078	0	0
# possibly misassembled contigs	0	0	1	0	0	0	0	0	0	0
    # possible misassemblies	0	0	1	0	0	0	0	0	0	0
# local misassemblies	3	3	71	125	4	4	9	22	3	5
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	0	0	0	0
# mismatches	36	57	159	339	49	40	29	28	31	28
# indels	68	80	170	348	67	76	68	65	67	65
    # indels (<= 5 bp)	58	72	60	133	57	63	62	58	60	58
    # indels (> 5 bp)	10	8	110	215	10	13	6	7	7	7
Indels length	334	308	4347	7382	317	444	312	285	341	295
