Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	    # c. interspecies translocations	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	    # s. interspecies translocations	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
NA	52	52	52	0	0	0	0	0	0	0	0	23	5929686	29	116	52	0	0	0	31527	1154	1005	149	4351
NA_2	53	53	52	0	1	0	0	0	0	0	0	22	6317121	27	116	51	0	0	0	31502	1141	994	147	4265
Phi29+RP	93	93	82	0	7	4	0	0	0	0	0	86	5276981	45	76	328	0	0	6	22521	1654	965	689	24759
Phi29+RP_2	56	56	55	0	1	0	0	0	0	0	0	34	5307327	32	109	175	0	0	1	31629	1342	975	367	11583
PrimPol+Phi29	53	53	52	0	1	0	0	0	0	0	0	23	5909034	27	112	53	0	0	0	31647	1159	1014	145	4242
piPolB+D	45	45	45	0	0	0	0	0	0	0	0	29	4521393	36	108	51	0	0	1	31433	1338	1186	152	4802
piMDA	65	65	65	0	0	0	0	0	0	0	0	29	7396030	31	116	63	0	0	0	31639	1148	1003	145	4254
piMDA_2	66	66	65	0	1	0	0	0	0	0	0	35	8148728	30	115	100	0	0	0	31499	1100	959	141	4075
piMDA+D	52	52	52	0	0	0	0	0	0	0	0	23	6365130	29	116	52	0	0	0	31480	1117	969	148	4344
piMDA+D_2	52	52	52	0	0	0	0	0	0	0	0	23	7354160	27	113	51	0	0	0	31477	1101	958	143	4221
