All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly       # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50      NG50     N90     NG90    L50  LG50  L90  LG90  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50     NGA50    NA90    NGA90   LA50  LGA50  LA90  LGA90  K-mer-based compl. (%)  K-mer-based cor. length (%)  K-mer-based mis. length (%)  # k-mer-based misjoins
NA             11                      9                       9                        8                        8                        4031037                    4026228                    4026228                     4010767                     4010767                     13         1042225         4032246       4215606           43.69   43.51             1042019  976111   306395  306395  2    3     5    5     1                1                       1042019                      1                      0                         0                         0                         0 + 0 part           0                 95.650               1.000              0.00               4.66                      0.89                  1042225            4032246               976111   886483   306395  155536  2     3      5     6      96.22                   72.27                        27.58                        2                     
NA_2           12                      10                      10                       7                        7                        4031261                    4026452                    4026452                     3984672                     3984672                     13         1046588         4031946       4215606           43.69   43.51             1042514  1015468  306394  306394  2    3     5    5     1                1                       1042514                      1                      0                         0                         0                         0 + 0 part           0                 95.409               1.000              0.00               4.35                      0.92                  1036878            4022233               1015468  886978   306394  155536  2     3      5     6      96.22                   74.01                        25.86                        1                     
Phi29+RP       12                      9                       8                        7                        7                        4043314                    4036525                    4027631                     4012177                     4012177                     13         2089305         4043931       4215606           43.69   43.51             2089305  1055207  238258  208097  1    2     4    5     4                2                       3144512                      1                      0                         0                         0                         0 + 0 part           0                 95.653               1.003              0.00               4.45                      0.82                  995045             4043915               604097   604097   208097  208097  3     3      7     7      95.97                   48.20                        51.67                        1                     
Phi29+RP_2     9                       7                       7                        6                        6                        4033928                    4029119                    4029119                     4013665                     4013665                     10         2086699         4034613       4215606           43.70   43.51             2086699  1046726  306395  306395  1    2     4    4     1                1                       2086699                      1                      0                         0                         0                         0 + 0 part           0                 95.472               1.000              0.00               5.27                      0.89                  1200132            4024765               1036878  1036878  306395  306395  2     2      5     5      96.20                   48.14                        51.72                        1                     
PrimPol+Phi29  12                      10                      10                       7                        7                        4031297                    4026488                    4026488                     3980189                     3980189                     14         1046726         4032507       4215606           43.69   43.51             1042490  1028950  306395  306395  2    3     5    5     1                1                       1042490                      1                      0                         0                         0                         0 + 0 part           0                 95.420               1.000              0.00               4.45                      0.99                  1036878            4022659               1028950  886954   306395  155536  2     3      5     6      96.23                   48.04                        51.81                        2                     
piPolB+D       53                      49                      47                       31                       22                       4031814                    4021298                    4009188                     3757183                     3462849                     55         610348          4033041       4215606           43.68   43.51             144514   144514   31014   20282   6    6     27   33    1                1                       568529                       1                      0                         0                         0                         0 + 0 part           0                 95.606               1.001              0.00               4.36                      5.63                  610348             4032721               144514   144514   31010   20282   7     7      28    34     95.72                   85.75                        14.10                        1                     
piMDA          12                      10                      10                       8                        8                        4030958                    4026149                    4026149                     3997906                     3997906                     13         2071182         4031764       4215606           43.69   43.51             2071182  976111   306394  134027  1    2     4    5     2                1                       2071182                      1                      0                         0                         0                         0 + 0 part           0                 95.635               1.000              0.00               4.14                      0.92                  1028984            4031748               886751   886751   155431  134027  3     3      6     7      96.22                   46.75                        53.11                        2                     
piMDA_2        15                      12                      12                       10                       9                        4035388                    4028320                    4028320                     3999993                     3953047                     15         1043422         4035388       4215606           43.69   43.51             1027920  703082   193849  151299  2    3     6    7     2                2                       1746504                      4                      0                         0                         0                         0 + 0 part           0                 95.636               1.001              0.00               3.94                      0.79                  1027920            4035222               458984   458984   155552  151299  3     3      8     9      96.17                   56.55                        43.28                        2                     
piMDA+D        15                      12                      12                       9                        9                        4030755                    4024884                    4024884                     3984118                     3984118                     16         1042019         4031308       4215606           43.69   43.51             1015468  976111   306394  85613   2    3     5    6     1                1                       1042019                      1                      0                         0                         0                         0 + 0 part           0                 95.623               1.000              0.00               4.04                      0.92                  1015468            4031308               886483   886483   155536  85613   3     3      6     7      96.21                   73.99                        25.85                        1                     
piMDA+D_2      9                       7                       7                        6                        6                        4033864                    4029055                    4029055                     4013594                     4013594                     9          2086696         4033864       4215606           43.70   43.51             2086696  1046588  306394  306394  1    2     4    4     1                1                       2086696                      1                      0                         0                         0                         0 + 0 part           0                 95.458               1.000              0.00               5.19                      0.84                  1199874            4024154               1036878  1036878  306394  306394  2     2      5     5      96.21                   48.15                        51.73                        1                     
