Parameter;NA;NA;RP-MDA;RP-MDA;PrimPol-MDA;piPolB+D;piMDA;piMDA;piMDA+D;piMDA+D
Experiment;1;2;1;2;2;2;1;2;1;2
# contigs (>= 0 bp);349;325;5634;1429;344;62919;501;546;394;363
# contigs (>= 1000 bp);160;148;1249;705;158;275;194;173;162;149
# contigs (>= 5000 bp);131;119;265;286;127;233;155;138;133;119
# contigs (>= 10000 bp);122;112;157;207;117;214;144;127;123;107
# contigs (>= 25000 bp);110;98;82;147;105;166;125;111;108;97
# contigs (>= 50000 bp);81;71;42;79;74;108;90;83;79;69
Total length (>= 0 bp);17916599;17919452;14876408;17725081;17906725;21810268;17962982;18012005;17923857;17924698
Total length (>= 1000 bp);17892407;17898577;13219656;17448112;17878713;17870792;17924276;17966549;17896678;17896845
Total length (>= 5000 bp);17822650;17829957;11250325;16550613;17800929;17773166;17831836;17882519;17828017;17826823
Total length (>= 10000 bp);17761419;17780496;10492784;16010647;17729506;17637727;17753541;17810225;17761121;17743930
Total length (>= 25000 bp);17556248;17544929;9370730;15022627;17523481;16842264;17440941;17528353;17509118;17578496
Total length (>= 50000 bp);16498733;16546028;7917224;12571263;16356077;14785306;16184156;16473770;16477335;16559508
# contigs;169;154;2295;920;170;289;205;181;168;158
Largest contig;1042225;1046588;2089305;2086699;1046726;610348;2071182;1043422;1042019;2086696
Total length;17899057;17903287;13950118;17608082;17887807;17880904;17932358;17972980;17901308;17903920
Reference length;17818642;17818642;17818642;17818642;17818642;17818642;17818642;17818642;17818642;17818642
N50;271299;310147;78604;116557;269691;131949;239546;259558;304667;338304
N90;57777;59674;1702;13644;57777;31809;50678;57624;57984;59674
L50;18;16;27;31;17;36;21;21;18;15
L90;75;64;728;193;70;141;90;78;73;62
# total reads;131347651;139698395;122716658;124318606;104126414;66961357;126245345;138596459;117241827;149705503
# left;65670464;69846789;61170298;62056281;51968117;31982937;62904152;69085790;58483127;74694662
# right;65670464;69846789;61170298;62056281;51968117;31982937;62904152;69085790;58483127;74694662
Mapped (%);99.98;99.9;99.47;99.9;99.9;83.61;99.96;99.95;99.97;99.93
Reference mapped (%);96.7;96.77;99.27;99.17;98.89;82.57;92.12;91.8;96.21;95.63
Properly paired (%);98;99.26;94.15;97;97.18;73.45;93.66;94.8;95.42;96.43
Reference properly paired (%);95.4;96.38;94.31;96.75;96.67;72.76;86.71;87.29;92.22;92.42
Avg. coverage depth;545;582;650;526;433;144;519;573;483;623
Reference avg. coverage depth;530;567;508;516;431;141;481;530;467;598
Coverage >= 1x (%);100;100;99.95;99.99;100;100;100;100;100;100
Reference coverage >= 1x (%);98.06;98.06;93.98;97.91;98.05;98.05;98.06;98.06;98.06;98.06
# misassemblies;44;48;90;48;48;39;59;57;44;45
# misassembled contigs;21;21;83;29;24;26;27;31;20;21
Misassembled contigs length;5620046;6128343;5242973;4884253;6113493;4137348;7102098;7614770;5714473;7040174
# local misassemblies;50;43;327;171;46;49;60;97;44;50
# scaffold gap ext. mis.;0;0;0;0;0;0;0;0;0;0
# scaffold gap loc. mis.;0;0;0;0;0;0;0;0;0;0
# structural variations;10;17;5;16;15;9;9;12;19;8
# unaligned mis. contigs;0;0;6;1;0;1;0;0;0;0
# unaligned contigs;4 + 29 part;4 + 27 part;39 + 51 part;8 + 33 part;7 + 27 part;8 + 37 part;6 + 31 part;10 + 30 part;4 + 29 part;6 + 27 part
Unaligned length;609019;609122;567817;609773;608842;607032;619571;624369;615390;616502
Genome fraction (%);97.773;97.707;75.445;96.044;97.564;97.624;97.732;97.722;97.634;97.752
Duplication ratio;1.001;1.001;1.006;1;1.001;1.001;1.003;1.004;1.001;1.001
# N's per 100 kbp;0;0;0;0;0;0;0;0;0;0
# mismatches per 100 kbp;182.41;182.32;168.47;186.27;183.33;182.04;182.83;181.65;182.19;182.17
# indels per 100 kbp;6.68;6.59;12.37;7.9;6.71;7.75;6.63;6.34;6.46;6.38
Largest alignment;1042225;1036878;995045;1200132;1036878;610348;1028984;1027920;1015468;1199874
Total aligned length;17283376;17275876;13367902;16979844;17262286;17266688;17304905;17340252;17279069;17270286
NA50;175497;211660;59674;92944;177832;111207;134027;151299;182494;204651
NA90;39561;39654;1048;5230;37049;23933;31807;35063;38946;40160
LA50;23;20;35;42;22;45;33;31;22;19
LA90;107;103;1182;292;104;177;133;124;108;98
K-mer-based compl. (%);86.81;86.82;65.96;84.53;86.82;86.64;86.71;86.55;;86.82
K-mer-based cor. length (%);84.63;82.42;61.25;77.2;82.45;91.36;83.67;84.3;;76.49
K-mer-based mis. length (%);14.4;16.67;23.81;18.88;16.27;6.56;15.35;14.63;;22.5
# k-mer-based misjoins;6;5;5;5;6;5;5;5;;5
