S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
952152	1981156	1	1028984	NC_000964.3_NC_000964.3	NODE_1_length_2071182_cov_42.024203	99.99		True
relocation, inconsistency = 15427
1996584	2152030	1028985	1184431	NC_000964.3_NC_000964.3	NODE_1_length_2071182_cov_42.024203	99.96		True
relocation, inconsistency = 134402
2286433	3173191	1184432	2071182	NC_000964.3_NC_000964.3	NODE_1_length_2071182_cov_42.024203	100.0		True
CONTIG	NODE_1_length_2071182_cov_42.024203	2071182	misassembled
3178740	4154840	976111	1	NC_000964.3_NC_000964.3	NODE_2_length_976111_cov_53.666970	99.99		True
CONTIG	NODE_2_length_976111_cov_53.666970	976111	correct
5087097	5087175	44227	44305	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3173838	3173914	53301	53225	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3514721	3514921	53304	53102	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	92.12		False
3173838	3173914	53594	53518	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3515012	3515214	53597	53395	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
1959085	1959153	92594	92662	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3650722	3650919	92669	92472	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3421046	3421162	147613	147497	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	97.44		False
3514724	3514799	395423	395348	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
3515015	3515091	395423	395347	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
1992042	1992118	395501	395425	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	100.0		False
3173598	3173675	395503	395426	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
4392472	4392549	395426	395503	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	100.0		False
2923220	2923299	395504	395425	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
4392360	4392440	395426	395505	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	98.77		False
4392583	4392664	395426	395507	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	100.0		False
1992042	1992117	395661	395586	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	100.0		False
3173758	3173835	395663	395586	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
2923221	2923298	395663	395586	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	100.0		False
4392358	4392437	395584	395663	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	100.0		False
4392458	4392549	395575	395663	GCF_000005845.2_ASM584v2_genomic_NC_000913.3	NODE_3_length_495927_cov_172.178689	92.39		False
1061496	1062434	479242	478304	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	97.12		False
2119459	2119755	480699	480995	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	98.32		False
3547689	3575968	28274	1	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.58		True
relocation, inconsistency = 7647
3475730	3526477	92587	41839	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.58		True
local misassembly
3395454	3475538	172674	92588	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.54		True
relocation, inconsistency = -1129
3173533	3396582	395728	172675	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.56		True
relocation, inconsistency = -4878
3168180	3171531	405959	402608	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.52		True
local misassembly
3148359	3169152	426665	405960	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	98.94		True
relocation, inconsistency = -2249
3099303	3148252	477982	429021	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	99.33		True
relocation, inconsistency = 979523
2118520	2119458	478304	479242	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	98.94		True
relocation, inconsistency = 1055568
1061199	1061495	480995	480699	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_3_length_495927_cov_172.178689	98.65		True
CONTIG	NODE_3_length_495927_cov_172.178689	495927	misassembled
4225664	4257470	31862	56	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_4_length_398271_cov_159.915044	99.58		True
relocation, inconsistency = -6835
4008951	4225553	255411	38808	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_4_length_398271_cov_159.915044	99.59		True
local misassembly
4002563	4008732	261598	255412	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_4_length_398271_cov_159.915044	99.3		True
relocation, inconsistency = -1444
3930743	4004006	334805	261599	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_4_length_398271_cov_159.915044	99.59		True
relocation, inconsistency = 16488
3907188	3914108	341865	334952	GCF_000006765.1_ASM676v1_genomic_NC_002516.2	NODE_4_length_398271_cov_159.915044	99.57		True
relocation, inconsistency = 7193
