All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly       # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N90     NG90    L50  LG50  L90   LG90  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # scaffold gap ext. mis.  # scaffold gap loc. mis.  # unaligned mis. contigs  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  Total aligned length  NA50    NGA50   NA90   NGA90  LA50  LGA50  LA90  LGA90  K-mer-based compl. (%)  K-mer-based cor. length (%)  K-mer-based mis. length (%)  # k-mer-based misjoins
NA             51                      44                      42                       38                       29                       6558761                    6541004                    6529610                     6449756                     6104448                     52         480222          6559585       6264404           66.29   66.56             271299  271299  81823   91181   9    9     26    23    49               21                      4779725                      43                     0                         0                         0                         0 + 29 part          546235            95.847               1.001              0.00               507.33                    15.17                 400768             6010661               116871  120701  14460  27440  17    16     72    59     65.83                   87.74                        11.18                        2                     
NA_2           44                      37                      35                       32                       25                       6558420                    6542541                    6531146                     6468850                     6193012                     45         637715          6559244       6264404           66.29   66.56             320157  320157  103656  173536  8    8     21    19    49               20                      5087640                      42                     0                         0                         0                         0 + 27 part          546756            95.836               1.001              0.00               507.77                    15.06                 400768             6010413               120701  137726  15400  28274  16    15     66    55     65.84                   98.92                        0.00                         0                     
Phi29+RP       980                     168                     80                       20                       5                        4028207                    2366557                    1760483                     878109                      332346                      1750       85618           4571010       6264404           65.40   66.56             5425    2501    904     -       153  389   1071  -     56               53                      576399                       244                    0                         0                         6                         1 + 51 part          427364            66.002               0.999              0.00               517.00                    32.80                 44438              4130952               3470    1548    503    -      263   631    1761  -      42.21                   64.35                        0.00                         0                     
Phi29+RP_2     138                     97                      87                       69                       38                       6445070                    6348498                    6278756                     5956942                     4796604                     151        418864          6454610       6264404           66.32   66.56             103965  107002  29447   33213   18   17    64    59    46               26                      3104594                      45                     0                         0                         1                         0 + 33 part          467211            95.432               1.001              0.00               502.35                    14.71                 247330             5983876               63369   63948   6914   14615  31    29     118   102    65.56                   98.01                        0.00                         0                     
PrimPol+Phi29  50                      40                      39                       36                       26                       6468312                    6439688                    6433498                     6368385                     5943874                     53         480222          6470701       6264404           66.33   66.56             250423  250423  68627   99345   9    9     25    23    49               21                      4679577                      42                     0                         0                         0                         0 + 27 part          467631            95.731               1.001              0.00               507.53                    15.11                 400265             6000773               116793  118868  16241  27533  16    15     66    57     65.86                   95.51                        3.62                         2                     
piPolB+D       92                      78                      72                       60                       35                       6465764                    6433494                    6392007                     6190327                     5274503                     97         412635          6469217       6264404           66.37   66.56             164779  170905  37040   40717   13   12    48    44    42               27                      3836857                      37                     0                         0                         1                         0 + 37 part          467349            95.630               1.001              0.00               505.25                    15.20                 319885             5998992               87493   88056   14107  18849  22    21     92    81     65.78                   97.01                        0.00                         0                     
piMDA          62                      52                      50                       44                       30                       6579073                    6553655                    6542260                     6436260                     5914261                     65         495927          6580888       6264404           66.28   66.56             268827  295760  47924   65668   10   9     31    26    58               24                      4688132                      46                     0                         0                         0                         0 + 31 part          552365            95.826               1.004              0.00               508.10                    14.94                 341687             6025430               101721  105008  9545   24696  20    19     85    68     65.70                   98.99                        0.00                         0                     
piMDA_2        54                      47                      44                       39                       30                       6568959                    6553131                    6535961                     6432868                     6067363                     57         459318          6571466       6264404           66.29   66.56             212077  212077  94138   103750  10   10    28    25    52               25                      4802028                      56                     0                         0                         0                         0 + 30 part          543578            95.837               1.004              0.00               507.77                    14.92                 401504             6024611               108849  116792  14460  24966  19    17     79    65     65.71                   98.90                        0.00                         0                     
piMDA+D        50                      42                      40                       36                       27                       6562876                    6542652                    6531257                     6451403                     6137277                     51         447001          6563700       6264404           66.28   66.56             320156  341015  68627   103656  9    8     24    21    48               20                      5025451                      40                     0                         0                         0                         0 + 29 part          552824            95.811               1.001              0.00               508.43                    15.05                 400804             6008336               116871  120701  14515  26372  17    16     70    58     65.83                   94.79                        4.10                         1                     
piMDA+D_2      46                      39                      36                       33                       25                       6552093                    6536222                    6518326                     6470656                     6166316                     49         453250          6554700       6264404           66.28   66.56             320081  320081  103684  145236  9    9     22    20    49               21                      5082348                      41                     0                         0                         0                         0 + 27 part          547719            95.753               1.001              0.00               507.25                    14.89                 400768             6004547               120701  137726  14515  27795  16    15     68    56     65.87                   98.80                        0.00                         0                     
