All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     NA          NA_2        Phi29+RP    Phi29+RP_2  PrimPol+Phi29  piPolB+D    piMDA       piMDA_2     piMDA+D     piMDA+D_2 
# contigs (>= 1000 bp)       11          12          12          9           12             53          12          15          15          9         
# contigs (>= 5000 bp)       9           10          9           7           10             49          10          12          12          7         
# contigs (>= 10000 bp)      9           10          8           7           10             47          10          12          12          7         
# contigs (>= 25000 bp)      8           7           7           6           7              31          8           10          9           6         
# contigs (>= 50000 bp)      8           7           7           6           7              22          8           9           9           6         
Total length (>= 1000 bp)    4031037     4031261     4043314     4033928     4031297        4031814     4030958     4035388     4030755     4033864   
Total length (>= 5000 bp)    4026228     4026452     4036525     4029119     4026488        4021298     4026149     4028320     4024884     4029055   
Total length (>= 10000 bp)   4026228     4026452     4027631     4029119     4026488        4009188     4026149     4028320     4024884     4029055   
Total length (>= 25000 bp)   4010767     3984672     4012177     4013665     3980189        3757183     3997906     3999993     3984118     4013594   
Total length (>= 50000 bp)   4010767     3984672     4012177     4013665     3980189        3462849     3997906     3953047     3984118     4013594   
# contigs                    13          13          13          10          14             55          13          15          16          9         
Largest contig               1042225     1046588     2089305     2086699     1046726        610348      2071182     1043422     1042019     2086696   
Total length                 4032246     4031946     4043931     4034613     4032507        4033041     4031764     4035388     4031308     4033864   
Reference length             4215606     4215606     4215606     4215606     4215606        4215606     4215606     4215606     4215606     4215606   
GC (%)                       43.69       43.69       43.69       43.70       43.69          43.68       43.69       43.69       43.69       43.70     
Reference GC (%)             43.51       43.51       43.51       43.51       43.51          43.51       43.51       43.51       43.51       43.51     
N50                          1042019     1042514     2089305     2086699     1042490        144514      2071182     1027920     1015468     2086696   
NG50                         976111      1015468     1055207     1046726     1028950        144514      976111      703082      976111      1046588   
N90                          306395      306394      238258      306395      306395         31014       306394      193849      306394      306394    
NG90                         306395      306394      208097      306395      306395         20282       134027      151299      85613       306394    
L50                          2           2           1           1           2              6           1           2           2           1         
LG50                         3           3           2           2           3              6           2           3           3           2         
L90                          5           5           4           4           5              27          4           6           5           4         
LG90                         5           5           5           4           5              33          5           7           6           4         
# misassemblies              1           1           4           1           1              1           2           2           1           1         
# misassembled contigs       1           1           2           1           1              1           1           2           1           1         
Misassembled contigs length  1042019     1042514     3144512     2086699     1042490        568529      2071182     1746504     1042019     2086696   
# local misassemblies        1           1           1           1           1              1           1           4           1           1         
# scaffold gap ext. mis.     0           0           0           0           0              0           0           0           0           0         
# scaffold gap loc. mis.     0           0           0           0           0              0           0           0           0           0         
# unaligned mis. contigs     0           0           0           0           0              0           0           0           0           0         
# unaligned contigs          0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part     0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part
Unaligned length             0           0           0           0           0              0           0           0           0           0         
Genome fraction (%)          95.650      95.409      95.653      95.472      95.420         95.606      95.635      95.636      95.623      95.458    
Duplication ratio            1.000       1.000       1.003       1.000       1.000          1.001       1.000       1.001       1.000       1.000     
# N's per 100 kbp            0.00        0.00        0.00        0.00        0.00           0.00        0.00        0.00        0.00        0.00      
# mismatches per 100 kbp     4.66        4.35        4.45        5.27        4.45           4.36        4.14        3.94        4.04        5.19      
# indels per 100 kbp         0.89        0.92        0.82        0.89        0.99           5.63        0.92        0.79        0.92        0.84      
Largest alignment            1042225     1036878     995045      1200132     1036878        610348      1028984     1027920     1015468     1199874   
Total aligned length         4032246     4022233     4043915     4024765     4022659        4032721     4031748     4035222     4031308     4024154   
NA50                         976111      1015468     604097      1036878     1028950        144514      886751      458984      886483      1036878   
NGA50                        886483      886978      604097      1036878     886954         144514      886751      458984      886483      1036878   
NA90                         306395      306394      208097      306395      306395         31010       155431      155552      155536      306394    
NGA90                        155536      155536      208097      306395      155536         20282       134027      151299      85613       306394    
LA50                         2           2           3           2           2              7           3           3           3           2         
LGA50                        3           3           3           2           3              7           3           3           3           2         
LA90                         5           5           7           5           5              28          6           8           6           5         
LGA90                        6           6           7           5           6              34          7           9           7           5         
K-mer-based compl. (%)       96.22       96.22       95.97       96.20       96.23          95.72       96.22       96.17       96.21       96.21     
K-mer-based cor. length (%)  72.27       74.01       48.20       48.14       48.04          85.75       46.75       56.55       73.99       48.15     
K-mer-based mis. length (%)  27.58       25.86       51.67       51.72       51.81          14.10       53.11       43.28       25.85       51.73     
# k-mer-based misjoins       2           1           1           1           2              1           2           2           1           1         
