All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     NA          NA_2        Phi29+RP    Phi29+RP_2  PrimPol+Phi29  piPolB+D    piMDA       piMDA_2     piMDA+D     piMDA+D_2 
# contigs (>= 1000 bp)       16          8           149         465         12             18          29          16          13          9         
# contigs (>= 5000 bp)       15          7           19          110         9              17          24          14          12          6         
# contigs (>= 10000 bp)      13          7           7           48          9              16          21          13          10          6         
# contigs (>= 25000 bp)      13          7           1           15          9              15          19          12          10          6         
# contigs (>= 50000 bp)      11          7           0           2           7              15          16          11          10          5         
Total length (>= 1000 bp)    2684147     2688755     433790      2272855     2683274        2684182     2691800     2711637     2684100     2683297   
Total length (>= 5000 bp)    2681293     2685901     213276      1524421     2675542        2681328     2683316     2707497     2681246     2675547   
Total length (>= 10000 bp)   2669522     2685901     124412      1102994     2675542        2675768     2661944     2701937     2669477     2675547   
Total length (>= 25000 bp)   2669522     2685901     30963       585480      2675542        2665475     2628554     2677778     2669477     2675547   
Total length (>= 50000 bp)   2604546     2685901     0           152349      2598727        2665475     2529178     2638016     2669477     2631807   
# contigs                    16          8           401         661         13             18          30          17          13          10        
Largest contig               583354      840041      30963       85713       840047         369657      305864      593849      705563      958637    
Total length                 2684147     2688755     604110      2418532     2684018        2684182     2692778     2712557     2684100     2684013   
Reference length             2696980     2696980     2696980     2696980     2696980        2696980     2696980     2696980     2696980     2696980   
GC (%)                       71.24       71.20       68.41       71.01       71.23          71.23       71.24       71.23       71.23       71.23     
Reference GC (%)             71.16       71.16       71.16       71.16       71.16          71.16       71.16       71.16       71.16       71.16     
N50                          422898      583329      2058        8324        543595         239654      198003      376610      304667      583319    
NG50                         422898      583329      -           6605        543595         239654      198003      376610      304667      583319    
N90                          75931       273772      620         1291        164698         78031       58552       100307      112842      273772    
NG90                         67282       273772      -           -           164698         78031       58552       100307      112842      273772    
L50                          3           2           49          60          2              5           6           3           3           2         
LG50                         3           2           -           79          2              5           6           3           3           2         
L90                          8           5           293         381         6              12          15          9           7           5         
LG90                         9           5           -           -           6              12          15          9           7           5         
# misassemblies              0           0           11          5           0              0           3           6           0           0         
# misassembled contigs       0           0           11          5           0              0           3           3           0           0         
Misassembled contigs length  0           0           34603       6627        0              0           450753      1091078     0           0         
# local misassemblies        3           3           71          125         4              4           9           22          3           5         
# scaffold gap ext. mis.     0           0           0           0           0              0           0           0           0           0         
# scaffold gap loc. mis.     0           0           0           0           0              0           0           0           0           0         
# unaligned mis. contigs     0           0           0           0           0              0           0           0           0           0         
# unaligned contigs          0 + 0 part  0 + 0 part  0 + 4 part  0 + 0 part  0 + 0 part     0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part  0 + 0 part
Unaligned length             0           0           10288       0           0              0           0           0           0           0         
Genome fraction (%)          99.403      99.585      22.013      89.821      99.479         99.401      99.402      99.479      99.407      99.479    
Duplication ratio            1.000       1.000       0.998       0.998       1.000          1.000       1.003       1.011       1.000       1.000     
# N's per 100 kbp            0.00        0.00        0.00        0.00        0.00           0.00        0.00        0.00        0.00        0.00      
# mismatches per 100 kbp     1.34        2.12        26.83       14.03       1.83           1.49        1.08        1.03        1.16        1.04      
# indels per 100 kbp         2.54        2.98        28.69       14.40       2.50           2.83        2.53        2.40        2.50        2.42      
Largest alignment            583354      840041      30963       85713       840047         369156      305339      461821      705563      958637    
Total aligned length         2681248     2686026     592627      2416764     2683254        2681374     2689590     2711535     2681263     2683280   
NA50                         420742      583329      1878        8324        543583         239654      174021      181444      304136      583319    
NGA50                        420742      583329      -           6605        543583         239654      174021      181444      304136      583319    
NA90                         67267       273772      585         1276        164470         78018       58501       68707       112829      273772    
NGA90                        67267       273772      -           -           164470         78018       58501       68707       112829      273772    
LA50                         3           2           52          60          2              5           6           5           3           2         
LGA50                        3           2           -           79          2              5           6           5           3           2         
LA90                         9           5           313         382         6              12          16          14          7           5         
LGA90                        9           5           -           -           6              12          16          14          7           5         
K-mer-based compl. (%)       99.64       99.69       19.19       85.32       99.64          99.61       99.36       98.73       0.00        99.69     
K-mer-based cor. length (%)  77.95       78.20       50.68       83.77       79.43          99.69       88.41       99.61       99.69       77.95     
K-mer-based mis. length (%)  21.73       21.70       0.00        0.00        20.25          0.00        11.14       0.00        0.00        21.73     
# k-mer-based misjoins       1           1           0           0           1              0           1           0           0           1         
