Assembly	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	LA50	LGA50	LA90	LGA90	K-mer-based compl. (%)	K-mer-based cor. length (%)	K-mer-based mis. length (%)	# k-mer-based misjoins
NA	16	15	13	13	11	2684147	2681293	2669522	2669522	2604546	16	583354	2684147	2696980	71.24	71.16	422898	422898	75931	67282	3	3	8	9	0	0	0	3	0	0	0	0 + 0 part	0	99.403	1.000	0.00	1.34	2.54	583354	2681248	420742	420742	67267	67267	3	3	9	9	99.64	77.95	21.73	1
NA_2	8	7	7	7	7	2688755	2685901	2685901	2685901	2685901	8	840041	2688755	2696980	71.20	71.16	583329	583329	273772	273772	2	2	5	5	0	0	0	3	0	0	0	0 + 0 part	0	99.585	1.000	0.00	2.12	2.98	840041	2686026	583329	583329	273772	273772	2	2	5	5	99.69	78.20	21.70	1
Phi29+RP	149	19	7	1	0	433790	213276	124412	30963	0	401	30963	604110	2696980	68.41	71.16	2058	-	620	-	49	-	293	-	11	11	34603	71	0	0	0	0 + 4 part	10288	22.013	0.998	0.00	26.83	28.69	30963	592627	1878	-	585	-	52	-	313	-	19.19	50.68	0.00	0
Phi29+RP_2	465	110	48	15	2	2272855	1524421	1102994	585480	152349	661	85713	2418532	2696980	71.01	71.16	8324	6605	1291	-	60	79	381	-	5	5	6627	125	0	0	0	0 + 0 part	0	89.821	0.998	0.00	14.03	14.40	85713	2416764	8324	6605	1276	-	60	79	382	-	85.32	83.77	0.00	0
PrimPol+Phi29	12	9	9	9	7	2683274	2675542	2675542	2675542	2598727	13	840047	2684018	2696980	71.23	71.16	543595	543595	164698	164698	2	2	6	6	0	0	0	4	0	0	0	0 + 0 part	0	99.479	1.000	0.00	1.83	2.50	840047	2683254	543583	543583	164470	164470	2	2	6	6	99.64	79.43	20.25	1
piPolB+D	18	17	16	15	15	2684182	2681328	2675768	2665475	2665475	18	369657	2684182	2696980	71.23	71.16	239654	239654	78031	78031	5	5	12	12	0	0	0	4	0	0	0	0 + 0 part	0	99.401	1.000	0.00	1.49	2.83	369156	2681374	239654	239654	78018	78018	5	5	12	12	99.61	99.69	0.00	0
piMDA	29	24	21	19	16	2691800	2683316	2661944	2628554	2529178	30	305864	2692778	2696980	71.24	71.16	198003	198003	58552	58552	6	6	15	15	3	3	450753	9	0	0	0	0 + 0 part	0	99.402	1.003	0.00	1.08	2.53	305339	2689590	174021	174021	58501	58501	6	6	16	16	99.36	88.41	11.14	1
piMDA_2	16	14	13	12	11	2711637	2707497	2701937	2677778	2638016	17	593849	2712557	2696980	71.23	71.16	376610	376610	100307	100307	3	3	9	9	6	3	1091078	22	0	0	0	0 + 0 part	0	99.479	1.011	0.00	1.03	2.40	461821	2711535	181444	181444	68707	68707	5	5	14	14	98.73	99.61	0.00	0
piMDA+D	13	12	10	10	10	2684100	2681246	2669477	2669477	2669477	13	705563	2684100	2696980	71.23	71.16	304667	304667	112842	112842	3	3	7	7	0	0	0	3	0	0	0	0 + 0 part	0	99.407	1.000	0.00	1.16	2.50	705563	2681263	304136	304136	112829	112829	3	3	7	7	0.00	99.69	0.00	0
piMDA+D_2	9	6	6	6	5	2683297	2675547	2675547	2675547	2631807	10	958637	2684013	2696980	71.23	71.16	583319	583319	273772	273772	2	2	5	5	0	0	0	5	0	0	0	0 + 0 part	0	99.479	1.000	0.00	1.04	2.42	958637	2683280	583319	583319	273772	273772	2	2	5	5	99.69	77.95	21.73	1
