Assembly	NA	NA_2	Phi29+RP	Phi29+RP_2	PrimPol+Phi29	piPolB+D	piMDA	piMDA_2	piMDA+D	piMDA+D_2
# misassemblies	1	2	15	1	2	1	1	5	2	1
  # contig misassemblies	1	2	15	1	2	1	1	5	2	1
    # c. relocations	1	1	15	1	1	1	1	4	2	1
    # c. translocations	0	0	0	0	0	0	0	0	0	0
    # c. inversions	0	1	0	0	1	0	0	1	0	0
  # scaffold misassemblies	0	0	0	0	0	0	0	0	0	0
    # s. relocations	0	0	0	0	0	0	0	0	0	0
    # s. translocations	0	0	0	0	0	0	0	0	0	0
    # s. inversions	0	0	0	0	0	0	0	0	0	0
# misassembled contigs	1	1	13	1	1	1	1	5	2	1
Misassembled contigs length	107942	186967	1495446	107980	186967	116007	185963	509118	297660	185116
# possibly misassembled contigs	0	0	0	0	0	0	0	0	0	0
    # possible misassemblies	0	0	0	0	0	0	0	0	0	0
# local misassemblies	5	5	12	4	6	9	7	18	8	5
# scaffold gap ext. mis.	0	0	0	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	0	0	0	0
# unaligned mis. contigs	0	0	0	0	0	0	1	0	0	0
# mismatches	254	250	242	291	295	176	233	242	265	249
# indels	20	22	26	22	23	32	36	13	23	18
    # indels (<= 5 bp)	16	18	22	18	19	28	32	12	19	17
    # indels (> 5 bp)	4	4	4	4	4	4	4	1	4	1
Indels length	75	78	81	78	82	280	99	48	85	54
