S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
952339	1512197	1	559863	NC_000964.3_NC_000964.3	NODE_1_length_2089305_cov_528.157056	100.0		True
relocation, inconsistency = -1097
1511101	2115221	559864	1163960	NC_000964.3_NC_000964.3	NODE_1_length_2089305_cov_528.157056	99.98		True
relocation, inconsistency = -1781
2113441	2152030	1163961	1202549	NC_000964.3_NC_000964.3	NODE_1_length_2089305_cov_528.157056	99.99		True
relocation, inconsistency = 134402
2286433	3173191	1202550	2089305	NC_000964.3_NC_000964.3	NODE_1_length_2089305_cov_528.157056	99.99		True
CONTIG	NODE_1_length_2089305_cov_528.157056	2089305	misassembled
3672942	3673621	495770	496449	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	96.03		False
3665924	3666603	502788	503467	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	95.29		False
3714871	3719996	544717	549842	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	99.67		False
3856455	3856725	686039	686307	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	98.52		False
3856202	3856470	686292	686562	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	98.52		False
3107020	3107205	756322	756500	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	90.32		False
4094703	4099688	924538	929523	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	95.36		False
4094703	4099688	924538	929523	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	95.36		False
687858	687989	971518	971386	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	94.78		False
3107058	3107203	971373	971519	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	94.59		False
3172426	3172498	984621	984693	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
952131	952204	984694	984621	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
640405	640483	984806	984728	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
952042	952130	984806	984716	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	95.6		False
3172499	3172588	984715	984806	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	95.65		False
194205	194276	984959	984888	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
70267	70339	984959	984887	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
3171878	3171950	984887	984959	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
951788	951861	984959	984886	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
528903	528976	984959	984886	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
95565	95645	985046	984966	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
3173498	3173578	984966	985046	NC_000964.3_NC_000964.3	NODE_2_length_1055207_cov_475.261049	100.0		False
