Assembly	# misassemblies	  # contig misassemblies	    # c. relocations	    # c. translocations	    # c. inversions	  # scaffold misassemblies	    # s. relocations	    # s. translocations	    # s. inversions	# misassembled contigs	Misassembled contigs length	# possibly misassembled contigs	    # possible misassemblies	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# mismatches	# indels	    # indels (<= 5 bp)	    # indels (> 5 bp)	Indels length
NA	1	1	1	0	0	0	0	0	0	1	107942	0	0	5	0	0	0	254	20	16	4	75
NA_2	2	2	1	0	1	0	0	0	0	1	186967	0	0	5	0	0	0	250	22	18	4	78
Phi29+RP	15	15	15	0	0	0	0	0	0	13	1495446	0	0	12	0	0	0	242	26	22	4	81
Phi29+RP_2	1	1	1	0	0	0	0	0	0	1	107980	0	0	4	0	0	0	291	22	18	4	78
PrimPol+Phi29	2	2	1	0	1	0	0	0	0	1	186967	0	0	6	0	0	0	295	23	19	4	82
piPolB+D	1	1	1	0	0	0	0	0	0	1	116007	0	0	9	0	0	0	176	32	28	4	280
piMDA	1	1	1	0	0	0	0	0	0	1	185963	0	0	7	0	0	1	233	36	32	4	99
piMDA_2	5	5	4	0	1	0	0	0	0	5	509118	0	0	18	0	0	0	242	13	12	1	48
piMDA+D	2	2	2	0	0	0	0	0	0	2	297660	0	0	8	0	0	0	265	23	19	4	85
piMDA+D_2	1	1	1	0	0	0	0	0	0	1	185116	0	0	5	0	0	0	249	18	17	1	54
